Timestamp,Participant ID,I agree to the conditions of the study and understand that my answers from this questionnaire can be used for the purposes of this study.,Specify what gender you identify with,How old are you?,  How often do you ride a bicycle?  ,How confident are you in your cycling skills?,  Have you used VR systems or simulators before?  ,"  If yes, how often do you use VR or simulators?  ",How familiar are you with VR or simulation environments?  
27/01/2026 12:01:42,1,Agree,Male,23,Several times per week,6,Yes,Rarely,2
27/01/2026 14:18:07,2,Agree,Male,23,Rarely,7,Yes,Rarely,1
27/01/2026 16:05:54,3,Agree,Male,22,Several times per month,5,Yes,Occasionally (monthly),5
27/01/2026 17:10:03,4,Agree,Male,24,Rarely,7,No,Rarely,1
28/01/2026 10:14:22,5,Agree,Female,27,Rarely,3,Yes,Rarely,3
28/01/2026 13:05:46,6,Agree,Male,23,Rarely,5,Yes,Rarely,2
28/01/2026 14:14:19,7,Agree,Female,21,Rarely,6,Yes,Rarely,2
28/01/2026 15:14:56,8,Agree,Male,20,Several times per week,6,No,This is my first time,3
28/01/2026 16:05:31,9,Agree,Male,22,Several times per week,6,Yes,Rarely,2
28/01/2026 17:07:13,10,Agree,Male,22,Several times per month,7,No,This is my first time,1
29/01/2026 09:59:52,11,Agree,Male,21,Several times per month,7,Yes,Rarely,3
29/01/2026 11:02:08,12,Agree,Male,22,Rarely,6,No,This is my first time,1
29/01/2026 11:58:16,13,Agree,Male,20,Several times per month,6,Yes,Rarely,4
29/01/2026 13:01:48,14,Agree,Male,23,Several times per week,7,No,This is my first time,2
31/01/2026 15:08:02,15,Agree,Male,26,Several times per month,6,Yes,Rarely,6
31/01/2026 15:55:53,16,Agree,Male,22,Several times per month,6,Yes,Occasionally (monthly),7
