Timestamp,Participant ID,Trial.No,1. The riding assist is capable of interpreting situations correctly.  ,2. The riding assist works reliably.,3. A malfunction of the riding assist is likely. ,4. The riding assist is capable of handling complex riding tasks.  ,5. The riding assist might make sporadic errors.,6. I am confident about the riding assist’s capabilities. ,7. The riding assist was always clear to me. ,8. The riding assist reacts unpredictably. ,9. I was able to understand why things happened.,10. It is difficult to identify what the riding assist will do next. ,11. I trust the riding assist. ,12. I can rely on the riding assist. ,13. Using the riding assist would enable me to accomplish riding tasks more quickly.,14. Using the riding assist would improve my riding performance.,15. Using the riding assist would increase my riding productivity.,16. Using the riding assist would make riding easier for me.,17. I would find the riding assist useful for my riding activities.,18. Learning to operate the riding assist would be easy for me.,19. I would find it easy to get the riding assist to do what I want it to do.,20. I would find the riding assist flexible to interact with.,21. It would be easy for me to become skillful at using the riding assist.,22. I would find the riding assist easy to use.,23. What you notice during the ride?,24. What you think the system is doing?,25. What you expect the system will do next?,23. Mental Demand: How mentally demanding was the riding? ,24. Physical Demand: How physically demanding was the riding?  ,25. Temporal Demand: How hurried or rushed was the pace of the riding?   ,26. Performance: How successful were you in accomplishing the riding task?     ,27. Effort: How hard did you have to work to accomplish your level of performance?     ,"28. Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you?   ","The system’s state (e.g., when it is about to intervene with steering) was always clear to me. ",Column 35,What you notice during the ride?,What you notice during the ride?
27/01/2026 12:19:25,1,1,5,5,1,3,1,3,1,1,3,1,3,3,1,1,1,1,1,4,4,4,4,7,"The riding assist didnt take over, or at least i didnt feel it take over",Cant tell. I didnt feel any impact,"As i said, i didnt feel it",,,,,,,,,,
27/01/2026 12:27:11,1,2,5,5,3,3,1,3,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,I didnt notice the assist again,i cant tell as i didnt notice it,Cant say is it didnt activate,,,,,,,,,,
27/01/2026 12:33:20,1,3,5,5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,One small vibration when i left the white line ,Warning me before i make mistakes,maybe correct my path dependet on if i leave the line,,,,,,,,,,
27/01/2026 16:26:39,3,1,5,5,1,4,2,4,5,2,5,1,4,4,5,5,4,6,6,7,7,5,5,6,Difficult at the crosswalk to look at the numbers,Keeping me in lane,Maybe stopping for pedestrians ?,,,,,,,,,,
27/01/2026 16:34:00,3,2,4,4,2,4,3,3,4,2,4,2,4,4,6,6,6,6,6,7,6,6,7,6,maybe one false activation at the beginning ? I dont think i was out,keeping the lane (maybe a bit less good),maybe stop for pedestrians ?,,,,,,,,,,
27/01/2026 16:40:37,3,3,3,2,2,4,2,2,4,2,4,4,2,2,3,3,2,2,2,5,2,2,4,2,"the assist is now more agressive, it reacts earlier",keeping the lane more strictly,also push more into the center not only vibrate,,,,,,,,,,
27/01/2026 16:46:09,3,4,4,4,2,3,3,4,5,2,4,2,4,4,6,6,6,6,5,6,6,6,6,6,now it also helps turning more ?,keeping the center with vibration and turning,maybe be even more strict,,,,,,,,,,
27/01/2026 16:52:55,3,5,5,5,1,4,3,5,3,1,5,2,5,5,6,6,6,6,6,7,7,6,6,6,"not that many lane keeping moments, but maybe im getting better at driving ?","keeping the lane, i think ",maybe be more strict now,,,,,,,,,,
27/01/2026 16:58:02,3,6,4,4,2,4,1,4,3,1,5,1,4,4,4,4,4,4,4,7,7,5,7,6,it didn't really activate,pretty much the same as always,maybe be more strict,,,,,,,,,,
27/01/2026 17:27:44,4,1,4,4,4,5,3,4,3,2,5,2,2,3,2,1,2,1,1,4,4,5,4,4,"The breaks doesn't feel authentic to real riding, and has a bit of a delay","It's tracking your capabilities multitasking while riding a bike, with riding assistent to help you to keep you from dangerous situations",Riding the bike uphill/downhill while completing the task,,,,,,,,,,
27/01/2026 17:37:58,4,2,4,4,3,4,2,3,4,2,4,3,3,3,5,2,5,2,3,5,5,5,5,5,"Motionsickness, either through inexperience with VR or because the VR doesnt instantly react to movements which confuses the brain","Reduce accidents with riding assistent, when riders get distracted or because bikes often do things while riding, such as drinking water",The same thing,,,,,,,,,,
27/01/2026 17:49:59,4,3,4,5,3,4,2,3,5,1,5,2,3,3,5,4,5,3,3,6,5,4,5,5,less motionsick after multiple testruns,"Reduce accident, due to carelessness or lesser awareness",More obstacles,,,,,,,,,,
27/01/2026 17:59:29,4,4,4,4,2,4,3,4,5,2,5,2,3,3,3,2,5,3,5,6,5,5,6,5,beeping sound at the end,Help people to learn how to ride a bike,Correctly identify traffic rules,,,,,,,,,,
28/01/2026 10:38:15,5,1,3,4,4,3,2,4,5,3,4,2,3,3,5,6,6,6,6,6,5,6,6,4,"it is working well, wenn i am not on my way",it is trying to keep me on the right way,"Stoping me, while people are on the way",,,,,,,,,,
28/01/2026 10:48:04,5,2,3,3,3,2,3,4,4,3,2,4,3,3,4,5,5,5,5,5,5,3,4,4,It was the same like round 1,try to  help to do multiple activities,NO idea,,,,,,,,,,
28/01/2026 10:53:51,5,3,3,3,3,3,3,3,2,2,2,4,3,3,5,5,5,5,6,6,5,4,5,5,the same like round 2 and 3,helping to keep me on the way,No idea,,,,,,,,,,
28/01/2026 11:00:48,5,4,2,2,2,2,2,3,3,4,2,3,3,2,4,5,5,4,4,5,5,5,5,4,not reacting fast,.,.,,,,,,,,,,
28/01/2026 11:05:27,5,5,3,3,3,4,4,3,4,4,2,3,3,4,5,5,5,4,4,5,5,5,5,5,the same like the one before,no idea,don't know,,,,,,,,,,
28/01/2026 11:09:31,5,6,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,.,.,.,,,,,,,,,,
28/01/2026 13:23:19,6,1,5,5,1,5,1,5,4,2,4,1,5,4,2,2,4,6,5,6,4,3,5,6,Nothing out of the ordinary,Trying to keep me in-lane,Hopefully keep me in the lane always? But when you ask the questions like this i suppose i should expect the lane assist to do something wrong...?,,,,,,,,,,
28/01/2026 13:30:57,6,2,2,2,3,2,4,2,1,4,2,3,2,2,1,1,1,1,1,1,1,1,1,1,the bike assist tried to steer me off the road or at least very close to the edge,maybe it is trying whether i really pay attention to the road?,"Hopefully it will correct itself next time, but i will try to be cautious",,,,,,,,,,
28/01/2026 13:40:48,6,3,5,5,4,4,3,4,4,2,4,2,4,4,5,5,3,3,5,5,6,6,6,6,"The riding assist was fine this time. I forgot to mention last time that last loop was reversed, right now it is again the same loop as in the first iteration of the study","Right now the lane assist was fine, however, after last time, i do not trust it as much as i did in the first ride","Another reversed loop, hopefully the bike assist will be fine but maybe it will be malfunctioning again",,,,,,,,,,
28/01/2026 13:53:27,6,4,4,4,2,4,3,4,2,2,2,4,4,3,3,3,3,4,5,5,6,6,5,6,"A blue grid appeared shortly after starting the lap. Also the lane assist was a little wonky this time, but kept me on the road. I also cant help but notice that all the number sequences started with a 3, i think.",Testing whether I actually pay attention to the road and keeping track whether I can focus on the numbers as well (maybe measuring how the focus changes during the rides?),"Maybe some other artifacts will appear, similar to the blue grid",,,,,,,,,,
28/01/2026 14:01:55,6,5,3,3,4,3,4,3,4,3,3,4,3,2,3,3,3,3,3,5,4,5,5,4,Blue crosses instead of a grid appeared now. They were darker than the blue grid. Also the steering assist turned off at the last curve,"It is setting the accuracy of the riding assist to different levels, sometimes it is wonky, sometimes not. This time, the riding assist was trying to keep me as right as possible and sometimes did some strange turns to the left and back. For example, in the first run, the riding assist kept me strictly in the middle",Maybe will the lane assist keep me in the left? Green grid will appear?,,,,,,,,,,
