# Study: LKA_Haptics | Participant: 11 | Condition: HapticsAdaptiveCW | Init: 20260129_101558 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
93,3194;278,0910;7,50;-0,9811;0,0285;0,0000;0,0000;0,0000;0,0000;0,0000;0,0356;0,96;-0,02;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
93,3333;278,1199;7,50;-0,9442;0,0287;0,0000;0,0000;0,0000;0,0000;0,0000;0,0359;0,94;0,00;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
93,3472;278,1488;7,50;-0,8961;0,0290;0,0000;0,0000;0,0000;0,0000;0,0000;0,0362;0,93;0,03;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
93,3611;278,1778;7,50;-0,8340;0,0292;0,0000;0,0000;0,0000;0,0000;0,0000;0,0365;0,91;0,08;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,3750;278,4088;7,50;-0,7852;0,0294;0,0000;0,0000;0,0000;0,0000;0,0000;0,0368;0,90;0,11;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,3889;278,4088;7,50;-0,7476;0,0297;0,0000;0,0000;0,0000;0,0000;0,0000;0,0371;0,88;0,13;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,4028;278,4088;7,50;-0,7008;0,0299;0,0000;0,0000;0,0000;0,0000;0,0000;0,0374;0,87;0,17;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,4167;278,4088;7,50;-0,6514;0,0302;0,0000;0,0000;0,0000;0,0000;0,0000;0,0377;0,86;0,21;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,4306;278,4088;7,50;-0,5981;0,0304;0,0000;0,0000;0,0000;0,0000;0,0000;0,0380;0,85;0,25;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,4444;278,4088;7,50;-0,5875;0,0306;0,0000;0,0000;0,0000;0,0000;0,0000;0,0383;0,84;0,25;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,4583;278,4088;7,50;-0,5428;0,0309;0,0000;0,0000;0,0000;0,0000;0,0000;0,0386;0,83;0,28;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,4722;278,4092;7,50;-0,4959;0,0311;0,0000;0,0000;0,0000;0,0000;0,0000;0,0389;0,82;0,32;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
93,4861;278,4382;7,50;-0,4110;0,0314;0,0000;0,0000;0,0000;0,0000;0,0000;0,0392;0,81;0,40;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
93,5000;278,4671;7,40;-0,3700;0,0317;0,0000;0,0000;0,0000;0,0000;0,0000;0,0396;0,80;0,43;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
93,5139;278,4956;7,40;-0,3449;0,0319;0,0000;0,0000;0,0000;0,0000;0,0000;0,0399;0,80;0,45;1;0,0003;0,00;0;1;1;7;0;0;410;2048;2048
93,5278;278,5242;7,40;-0,3269;0,0322;0,0000;0,0000;0,0000;0,0000;0,0000;0,0402;0,79;0,46;1;0,0004;0,00;0;1;1;7;0;0;410;2048;2048
93,5417;278,5527;7,40;-0,3165;0,0324;0,0000;0,0000;0,0000;0,0000;0,0000;0,0405;0,79;0,47;1;0,0005;0,00;0;1;1;7;0;0;410;2048;2048
93,5556;278,5813;7,40;-0,3152;0,0327;0,0000;0,0000;0,0000;0,0000;0,0000;0,0409;0,78;0,46;1;0,0006;0,00;0;1;1;7;0;0;410;2048;2048
93,5694;278,6098;7,40;-0,3218;0,0330;0,0000;0,0000;0,0000;0,0000;0,0000;0,0412;0,77;0,45;1;0,0006;0,00;0;1;1;7;0;0;410;2048;2048
93,5833;278,8654;7,40;-0,3320;0,0332;0,0000;0,0000;0,0000;0,0000;0,0000;0,0415;0,77;0,44;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
93,5972;278,8654;7,40;-0,3434;0,0335;0,0000;0,0000;0,0000;0,0000;0,0000;0,0418;0,76;0,42;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
93,6111;278,8654;7,40;-0,3522;0,0337;0,0000;0,0000;0,0000;0,0000;0,0000;0,0421;0,76;0,40;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
93,6250;278,8654;7,40;-0,3592;0,0339;0,0000;0,0000;0,0000;0,0000;0,0000;0,0424;0,75;0,39;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
