# Study: LKA_Haptics | Participant: 12 | Condition: HapticsAdaptiveCC | Init: 20260129_113016 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
80,4167;260,6377;6,70;-1,0102;0,0208;0,0000;0,0000;0,0000;0,0000;0,0000;0,0259;0,63;-0,38;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,4306;260,6377;6,70;-1,0129;0,0209;0,0000;0,0000;0,0000;0,0000;0,0000;0,0261;0,62;-0,39;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,4444;260,6377;6,70;-1,0051;0,0210;0,0000;0,0000;0,0000;0,0000;0,0000;0,0262;0,60;-0,40;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,4583;260,6377;6,70;-0,9808;0,0211;0,0000;0,0000;0,0000;0,0000;0,0000;0,0263;0,59;-0,40;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,4722;260,6377;6,70;-0,9239;0,0212;0,0000;0,0000;0,0000;0,0000;0,0000;0,0264;0,57;-0,35;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,4861;260,6377;6,70;-0,9125;0,0212;0,0000;0,0000;0,0000;0,0000;0,0000;0,0266;0,55;-0,36;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,5000;260,6377;6,70;-0,8557;0,0213;0,0000;0,0000;0,0000;0,0000;0,0000;0,0267;0,54;-0,32;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,5139;260,6377;6,70;-0,7275;0,0214;0,0000;0,0000;0,0000;0,0000;0,0000;0,0268;0,53;-0,20;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,5278;260,3889;6,70;-0,6382;0,0216;0,0000;0,0000;0,0000;0,0000;0,0000;0,0269;0,52;-0,12;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,5417;260,3631;6,70;-0,5408;0,0217;0,0000;0,0000;0,0000;0,0000;0,0000;0,0271;0,51;-0,03;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,5556;260,3372;6,70;-0,4202;0,0218;0,0000;0,0000;0,0000;0,0000;0,0000;0,0273;0,50;0,08;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,5694;260,3114;6,70;-0,3127;0,0220;0,0000;0,0000;0,0000;0,0000;0,0000;0,0275;0,50;0,18;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,5833;260,2855;6,70;-0,2504;0,0221;0,0000;0,0000;0,0000;0,0000;0,0000;0,0277;0,49;0,24;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,5972;260,2597;6,70;-0,2039;0,0223;0,0000;0,0000;0,0000;0,0000;0,0000;0,0279;0,49;0,29;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,6111;260,2338;6,70;-0,1573;0,0225;0,0000;0,0000;0,0000;0,0000;0,0000;0,0281;0,49;0,33;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,6250;260,2080;6,70;-0,1082;0,0227;0,0000;0,0000;0,0000;0,0000;0,0000;0,0283;0,49;0,38;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,6389;260,1821;6,70;-0,0823;0,0228;0,0000;0,0000;0,0000;0,0000;0,0000;0,0286;0,49;0,40;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,6528;260,1814;6,70;-0,0665;0,0230;0,0000;0,0000;0,0000;0,0000;0,0000;0,0288;0,48;0,42;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,6667;260,1814;6,70;-0,0551;0,0232;0,0000;0,0000;0,0000;0,0000;0,0000;0,0290;0,48;0,43;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,6806;260,1814;6,70;-0,0557;0,0234;0,0000;0,0000;0,0000;0,0000;0,0000;0,0292;0,48;0,43;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,6944;260,1814;6,70;-0,0659;0,0236;0,0000;0,0000;0,0000;0,0000;0,0000;0,0295;0,48;0,42;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,7083;260,1814;6,70;-0,0885;0,0237;0,0000;0,0000;0,0000;0,0000;0,0000;0,0297;0,48;0,39;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,7222;260,1814;6,70;-0,1242;0,0239;0,0000;0,0000;0,0000;0,0000;0,0000;0,0299;0,48;0,36;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,7361;260,1814;6,70;-0,1643;0,0241;0,0000;0,0000;0,0000;0,0000;0,0000;0,0301;0,48;0,31;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,7500;260,1814;6,70;-0,2058;0,0242;0,0000;0,0000;0,0000;0,0000;0,0000;0,0303;0,48;0,27;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,7639;259,9495;6,70;-0,2462;0,0244;0,0000;0,0000;0,0000;0,0000;0,0000;0,0305;0,47;0,23;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,7778;259,9236;6,70;-0,2862;0,0245;0,0000;0,0000;0,0000;0,0000;0,0000;0,0306;0,47;0,18;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,7917;259,8978;7,10;-0,3167;0,0246;0,0000;0,0000;0,0000;0,0000;0,0000;0,0308;0,46;0,15;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,8056;259,8704;7,10;-0,3524;0,0248;0,0000;0,0000;0,0000;0,0000;0,0000;0,0310;0,46;0,10;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,8194;259,8430;7,10;-0,3767;0,0249;0,0000;0,0000;0,0000;0,0000;0,0000;0,0312;0,45;0,07;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,8333;259,8156;7,10;-0,3995;0,0251;0,0000;0,0000;0,0000;0,0000;0,0000;0,0313;0,44;0,04;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,8472;259,7882;7,10;-0,4195;0,0252;0,0000;0,0000;0,0000;0,0000;0,0000;0,0315;0,44;0,00;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,8611;259,7608;7,10;-0,4320;0,0253;0,0000;0,0000;0,0000;0,0000;0,0000;0,0316;0,43;0,00;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,8750;259,7335;7,10;-0,4389;0,0254;0,0000;0,0000;0,0000;0,0000;0,0000;0,0318;0,42;0,00;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,8889;259,7258;7,10;-0,4401;0,0255;0,0000;0,0000;0,0000;0,0000;0,0000;0,0319;0,41;-0,02;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,9028;259,7258;7,10;-0,4314;0,0256;0,0000;0,0000;0,0000;0,0000;0,0000;0,0320;0,41;-0,02;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,9167;259,7258;7,10;-0,4202;0,0257;0,0000;0,0000;0,0000;0,0000;0,0000;0,0322;0,40;-0,02;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,9306;259,7258;7,10;-0,4102;0,0258;0,0000;0,0000;0,0000;0,0000;0,0000;0,0323;0,39;-0,02;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,9444;259,7258;7,10;-0,4017;0,0259;0,0000;0,0000;0,0000;0,0000;0,0000;0,0324;0,38;-0,02;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,9583;259,7258;7,10;-0,3976;0,0260;0,0000;0,0000;0,0000;0,0000;0,0000;0,0325;0,37;-0,02;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,9722;259,7258;7,10;-0,3964;0,0261;0,0000;0,0000;0,0000;0,0000;0,0000;0,0327;0,37;-0,03;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
80,9861;259,7258;7,10;-0,3935;0,0262;0,0000;0,0000;0,0000;0,0000;0,0000;0,0328;0,36;-0,03;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
81,0000;259,4869;7,10;-0,3866;0,0263;0,0000;0,0000;0,0000;0,0000;0,0000;0,0329;0,35;-0,03;1;0,0000;0,00;0;0;1;4;0;0;410;2048;2048
