# Study: LKA_Haptics | Participant: 13 | Condition: BaselineCW | Init: 20260129_123123 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
111,2639;278,0865;4,80;1,1540;-0,0626;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0783;-2,11;-0,95;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
111,2778;278,1050;4,80;1,2166;-0,0630;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0788;-2,09;-0,88;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
111,2917;278,1235;4,80;1,2708;-0,0635;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0793;-2,08;-0,80;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
111,3056;278,1420;4,80;1,3134;-0,0639;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0798;-2,06;-0,75;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
111,3194;278,1606;4,80;1,3219;-0,0643;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0804;-2,04;-0,72;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
111,3333;278,1790;4,80;1,3751;-0,0647;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0809;-2,02;-0,65;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,3472;278,4088;4,80;1,4018;-0,0651;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0814;-2,01;-0,60;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,3611;278,4088;4,80;1,4103;-0,0655;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0818;-1,99;-0,58;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,3750;278,4088;4,80;1,4115;-0,0658;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0823;-1,97;-0,56;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,3889;278,4088;4,80;1,4024;-0,0662;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0827;-1,95;-0,55;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,4028;278,4088;4,80;1,3776;-0,0666;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0832;-1,94;-0,56;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,4167;278,4088;4,80;1,3368;-0,0669;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0837;-1,92;-0,58;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,4306;278,4088;5,40;1,2940;-0,0673;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0841;-1,90;-0,61;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,4444;278,4088;5,40;1,2101;-0,0677;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0846;-1,88;-0,67;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,4583;278,4088;5,40;1,1531;-0,0681;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0852;-1,87;-0,71;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,4722;278,4088;5,40;1,1028;-0,0686;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0857;-1,85;-0,75;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,4861;278,4088;5,40;1,0734;-0,0690;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0862;-1,84;-0,76;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,5000;278,4128;5,40;1,0676;-0,0694;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0868;-1,82;-0,75;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
111,5139;278,4336;5,40;1,0736;-0,0698;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0873;-1,81;-0,73;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
111,5278;278,4544;5,40;1,1118;-0,0702;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0878;-1,79;-0,68;1;0,0002;0,00;0;1;1;0;0;0;410;2048;2048
111,5417;278,4753;5,40;1,1865;-0,0706;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0883;-1,77;-0,59;1;0,0002;0,00;0;1;1;0;0;0;410;2048;2048
111,5556;278,4961;5,40;1,2971;-0,0710;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0887;-1,75;-0,46;1;0,0003;0,00;0;1;1;0;0;0;410;2048;2048
111,5694;278,5169;5,40;1,4583;-0,0713;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0892;-1,73;-0,27;1;0,0004;0,00;0;1;1;0;0;0;410;2048;2048
111,5833;278,5378;5,40;1,6810;-0,0717;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0896;-1,71;-0,03;1;0,0004;0,00;0;1;1;0;0;0;410;2048;2048
111,5972;278,5586;5,40;1,9116;-0,0719;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0899;-1,68;0,23;1;0,0005;0,00;0;1;1;0;0;0;410;2048;2048
111,6111;278,5794;5,40;2,1758;-0,0722;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0902;-1,65;0,52;1;0,0005;0,00;0;1;1;0;0;0;410;2048;2048
111,6250;278,6003;5,40;2,4426;-0,0724;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0905;-1,62;0,83;1;0,0006;0,00;0;1;1;0;0;0;410;2048;2048
111,6389;278,6211;5,40;2,6921;-0,0726;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0907;-1,58;1,11;1;0,0007;0,00;0;1;1;0;0;0;410;2048;2048
111,6528;278,8654;5,40;2,9297;-0,0727;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0909;-1,54;1,39;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,6667;278,8654;5,40;3,1413;-0,0728;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0910;-1,49;1,65;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,6806;278,8654;5,40;3,3557;-0,0728;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0911;-1,45;1,91;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,6944;278,8654;5,40;3,5523;-0,0729;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0911;-1,40;2,15;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,7083;278,8654;5,40;3,7330;-0,0729;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0911;-1,35;2,39;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,7222;278,8654;5,40;3,8814;-0,0728;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0910;-1,29;2,59;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,7361;278,8654;5,40;4,0099;-0,0727;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0909;-1,23;2,78;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,7500;278,8654;5,40;4,0532;-0,0726;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0908;-1,18;2,88;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,7639;278,8654;5,40;4,0762;-0,0725;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0907;-1,12;2,96;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,7778;278,8654;5,40;4,0938;-0,0724;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0905;-1,06;3,03;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,7917;278,8654;5,40;4,1091;-0,0722;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0903;-1,01;3,10;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,8056;278,8712;5,40;4,1142;-0,0721;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0901;-0,95;3,17;1;0,0014;0,00;0;1;1;0;0;0;410;2048;2048
111,8194;278,8920;5,40;4,1216;-0,0719;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0898;-0,89;3,23;1;0,0013;0,00;0;1;1;0;0;0;410;2048;2048
111,8333;278,9128;5,40;4,1156;-0,0717;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0896;-0,83;3,28;1;0,0013;0,00;0;1;1;0;0;0;410;2048;2048
111,8472;278,9337;5,40;4,1109;-0,0714;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0893;-0,78;3,34;1;0,0012;0,00;0;1;1;0;0;0;410;2048;2048
111,8611;278,9545;5,40;4,0919;-0,0712;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0890;-0,72;3,37;1;0,0012;0,00;0;1;1;0;0;0;410;2048;2048
111,8750;278,9753;5,40;4,0424;-0,0710;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0887;-0,66;3,38;1;0,0011;0,00;0;1;1;0;0;0;410;2048;2048
111,8889;278,9962;5,40;3,9925;-0,0707;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0884;-0,60;3,39;1;0,0011;0,00;0;1;1;0;0;0;410;2048;2048
111,9028;279,0170;5,40;3,9250;-0,0704;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0880;-0,55;3,38;1;0,0010;0,00;0;1;1;0;0;0;410;2048;2048
111,9167;279,0378;5,40;3,8382;-0,0702;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0877;-0,50;3,34;1;0,0009;0,00;0;1;1;0;0;0;410;2048;2048
111,9306;279,0587;5,60;3,7429;-0,0699;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0873;-0,44;3,30;1;0,0009;0,00;0;1;1;0;0;0;410;2048;2048
111,9444;279,0803;5,60;3,6546;-0,0696;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0870;-0,39;3,27;1;0,0008;0,00;0;1;1;0;0;0;410;2048;2048
111,9583;279,3112;5,60;3,5653;-0,0693;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0866;-0,34;3,23;1;0,0002;0,00;0;1;1;0;0;0;410;2048;2048
