# Study: LKA_Haptics | Participant: 14 | Condition: BaselineCC | Init: 20260129_131805 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
112,5972;260,6377;6,90;0,1937;-0,0346;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0433;-1,08;-0,88;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,6111;260,6377;6,90;0,1533;-0,0350;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0437;-1,07;-0,92;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,6250;260,6377;7,20;0,0923;-0,0354;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0442;-1,07;-0,98;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,6389;260,6377;7,20;0,0174;-0,0357;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0447;-1,07;-1,05;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,6528;260,6377;7,20;-0,0698;-0,0362;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0452;-1,07;-1,14;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,6667;260,6377;7,20;-0,1379;-0,0366;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0457;-1,07;-1,21;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,6806;260,6377;7,20;-0,2048;-0,0370;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0463;-1,08;-1,28;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,6944;260,6377;7,20;-0,2464;-0,0374;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0468;-1,08;-1,33;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,7083;260,3885;7,20;-0,2692;-0,0379;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0474;-1,08;-1,35;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,7222;260,3607;7,20;-0,2946;-0,0384;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0479;-1,09;-1,38;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,7361;260,3329;7,20;-0,3132;-0,0388;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0485;-1,09;-1,41;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,7500;260,3052;7,20;-0,3222;-0,0393;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0491;-1,10;-1,42;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
112,7639;260,2774;7,20;-0,3257;-0,0398;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0497;-1,11;-1,43;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
