# Study: LKA_Haptics | Participant: 14 | Condition: HapticsFixedCC | Init: 20260129_131154 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
136,9306;260,6377;7,10;0,9077;0,0187;0,0000;0,0000;0,0000;0,0000;0,0000;0,0234;0,72;1,63;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
136,9444;260,6377;7,10;0,9040;0,0191;0,0000;0,0000;0,0000;0,0000;0,0000;0,0239;0,74;1,64;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
136,9583;260,6377;7,10;0,8834;0,0196;0,0000;0,0000;0,0000;0,0000;0,0000;0,0245;0,75;1,64;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
136,9722;260,6377;7,10;0,8410;0,0200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0250;0,77;1,61;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
136,9861;260,6377;7,10;0,8076;0,0204;0,0000;0,0000;0,0000;0,0000;0,0000;0,0256;0,79;1,59;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,0000;260,6377;7,10;0,7625;0,0209;0,0000;0,0000;0,0000;0,0000;0,0000;0,0261;0,80;1,56;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,0139;260,6377;7,10;0,7326;0,0213;0,0000;0,0000;0,0000;0,0000;0,0000;0,0266;0,81;1,55;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,0278;260,3981;7,10;0,7125;0,0217;0,0000;0,0000;0,0000;0,0000;0,0000;0,0272;0,83;1,54;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,0417;260,3708;7,10;0,7064;0,0222;0,0000;0,0000;0,0000;0,0000;0,0000;0,0277;0,84;1,55;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,0556;260,3434;7,10;0,7096;0,0226;0,0000;0,0000;0,0000;0,0000;0,0000;0,0283;0,85;1,56;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,0694;260,3160;7,10;0,7184;0,0231;0,0000;0,0000;0,0000;0,0000;0,0000;0,0288;0,87;1,59;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,0833;260,2886;7,10;0,7360;0,0235;0,0000;0,0000;0,0000;0,0000;0,0000;0,0294;0,88;1,62;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,0972;260,2612;7,10;0,7609;0,0240;0,0000;0,0000;0,0000;0,0000;0,0000;0,0300;0,90;1,66;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,1111;260,2338;7,10;0,7805;0,0245;0,0000;0,0000;0,0000;0,0000;0,0000;0,0306;0,91;1,69;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,1250;260,2064;7,10;0,8201;0,0250;0,0000;0,0000;0,0000;0,0000;0,0000;0,0312;0,93;1,75;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,1389;260,1814;7,10;0,8599;0,0255;0,0000;0,0000;0,0000;0,0000;0,0000;0,0318;0,94;1,80;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,1528;260,1814;7,40;0,8866;0,0260;0,0000;0,0000;0,0000;0,0000;0,0000;0,0325;0,96;1,85;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
137,1667;260,1814;7,40;0,9104;0,0265;0,0000;0,0000;0,0000;0,0000;0,0000;0,0331;0,98;1,89;1;0,0000;0,00;0;1;1;4;0;0;410;2048;2048
