# Study: LKA_Haptics | Participant: 6 | Condition: HapticsFixedCC | Init: 20260128_140344 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
participant_id;condition;trial_order;Timestamp;Trackposition;Speed_KmH;SteerAngle;Haptic_L_Norm;Haptic_R_Norm;LkaNormEffort;CTE_Meters;B_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;LKA_Switch;SecTaskNum;SecTaskIsTarget;SecTaskPressed
6;HapticsFixedCC;6;0,0;260,6377;6,4;-1,5089;0,0;0,0;0,0;0,031;0,42;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,0139;260,6377;6,4;-1,4763;0,0;0,0;0,0;0,031;0,39;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,0277;260,6377;6,4;-1,423;0,0;0,0;0,0;0,0309;0,37;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,0416;260,6377;6,4;-1,3759;0,0;0,0;0,0;0,0309;0,35;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,0555;260,6377;6,4;-1,3111;0,0;0,0;0,0;0,0308;0,33;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,0694;260,6377;6,4;-1,2179;0,0;0,0;0,0;0,0307;0,31;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,0833;260,6377;6,4;-1,131;0,0;0,0;0,0;0,0307;0,29;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,0972;260,6377;6,4;-1,0463;0,0;0,0;0,0;0,0307;0,27;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,1111;260,402;6,4;-0,9463;0,0;0,0;0,0;0,0306;0,26;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,125;260,3773;6,4;-0,8127;0,0;0,0;0,0;0,0306;0,24;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,1389;260,3526;6,4;-0,6896;0,0;0,0;0,0;0,0306;0,23;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,1527;260,3279;6,4;-0,4965;0,0;0,0;0,0;0,0307;0,23;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,1666;260,3033;6,4;-0,3015;0,0;0,0;0,0;0,0307;0,22;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,1805;260,2786;6,4;-0,0925;0,0;0,0;0,0;0,0308;0,22;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,1944;260,2539;6,4;0,1039;0,0;0,0;0,0;0,031;0,22;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,2083;260,2292;6,4;0,2528;0,0;0,0;0,0;0,0311;0,23;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,2222;260,2045;6,4;0,3634;0,0;0,0;0,0;0,0313;0,23;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,2361;260,1814;6,4;0,5027;0,0;0,0;0,0;0,0315;0,24;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,25;260,1814;6,4;0,6208;0,0;0,0;0,0;0,0317;0,25;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,2639;260,1814;6,4;0,7278;0,0;0,0;0,0;0,032;0,27;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,2777;260,1814;6,4;0,8212;0,0;0,0;0,0;0,0323;0,28;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,2916;260,1814;6,4;0,9153;0,0;0,0;0,0;0,0326;0,3;1;0,0;1;4;0;0
6;HapticsFixedCC;6;0,3055;260,1814;6,4;0,9873;0,0;0,0;0,0;0,0329;0,31;1;0,0;1;4;0;0
