# Study: LKA_Haptics | Participant: 6 | Condition: HapticsFixedCW | Init: 20260128_131641 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
participant_id;condition;trial_order;Timestamp;Trackposition;Speed_KmH;SteerAngle;Haptic_L_Norm;Haptic_R_Norm;LkaNormEffort;CTE_Meters;B_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;LKA_Switch;SecTaskNum;SecTaskIsTarget;SecTaskPressed
6;HapticsFixedCW;1;0,0;278,0854;6,9;1,1206;0,0;0,0;0,0;-0,0695;-1,81;1;0,0001;1;4;0;0
6;HapticsFixedCW;1;0,0139;278,112;6,9;1,1449;0,0;0,0;0,0;-0,0702;-1,79;1;0,0001;1;4;0;0
6;HapticsFixedCW;1;0,0278;278,1386;6,9;1,226;0,0;0,0;0,0;-0,0708;-1,76;1;0,0001;1;4;0;0
6;HapticsFixedCW;1;0,0416;278,1652;6,9;1,2612;0,0;0,0;0,0;-0,0714;-1,74;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,0555;278,4088;6,9;1,3659;0,0;0,0;0,0;-0,072;-1,72;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,0694;278,4088;6,9;1,4041;0,0;0,0;0,0;-0,0725;-1,69;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,0833;278,4088;6,9;1,4387;0,0;0,0;0,0;-0,0731;-1,66;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,0972;278,4088;6,9;1,4701;0,0;0,0;0,0;-0,0735;-1,64;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,1111;278,4088;6,9;1,5038;0,0;0,0;0,0;-0,0741;-1,61;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,125;278,4088;6,9;1,5103;0,0;0,0;0,0;-0,0745;-1,58;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,1389;278,4088;6,9;1,5396;0,0;0,0;0,0;-0,075;-1,55;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,1528;278,4088;6,9;1,6359;0,0;0,0;0,0;-0,0754;-1,53;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,1666;278,4088;6,9;1,7007;0,0;0,0;0,0;-0,0758;-1,49;1;0,0;1;4;0;0
6;HapticsFixedCW;1;0,1805;278,4314;6,9;1,7624;0,0;0,0;0,0;-0,0762;-1,46;1;0,0001;1;4;0;0
6;HapticsFixedCW;1;0,1944;278,458;6,9;1,8297;0,0;0,0;0,0;-0,0766;-1,43;1;0,0002;1;4;0;0
6;HapticsFixedCW;1;0,2083;278,4846;6,9;1,8432;0,0;0,0;0,0;-0,0769;-1,4;1;0,0003;1;4;0;0
