# Study: LKA_Haptics | Participant: 7 | Condition: HapticsAdaptiveCC | Init: 20260128_143259 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
participant_id;condition;trial_order;Timestamp;Trackposition;Speed_KmH;SteerAngle;Haptic_L_Norm;Haptic_R_Norm;LkaNormEffort;CTE_Meters;B_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;LKA_Switch;SecTaskNum;SecTaskIsTarget;SecTaskPressed
7;HapticsAdaptiveCC;2;0,0;260,6377;7,8;2,494;0,0;0,0;0,0;-0,0025;-0,04;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,0139;260,6377;7,8;2,7287;0,0;0,0;0,0;-0,0019;0,0;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,0278;260,6377;7,8;2,8838;0,0;0,0;0,0;-0,0013;0,07;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,0417;260,6377;7,8;3,0327;0,0;0,0;0,0;-0,0007;0,13;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,0556;260,6377;7,8;3,1311;0,0;0,0;0,0;0,0001;0,19;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,0695;260,6377;7,8;3,1556;0,0;0,0;0,0;0,0008;0,25;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,0834;260,6377;7,8;3,1474;0,0;0,0;0,0;0,0016;0,32;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,0972;260,3828;7,8;3,1458;0,0;0,0;0,0;0,0025;0,38;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,1111;260,3527;7,8;3,0437;0,0;0,0;0,0;0,0033;0,44;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,125;260,3226;7,8;2,9795;0,0;0,0;0,0;0,0042;0,5;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,1389;260,2925;7,8;2,8693;0,0;0,0;0,0;0,0051;0,56;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,1528;260,2624;7,8;2,7112;0,0;0,0;0,0;0,0059;0,62;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,1667;260,2324;7,8;2,5694;0,0;0,0;0,0;0,0068;0,67;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,1806;260,2023;7,8;2,4163;0,0;0,0;0,0;0,0077;0,72;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,1945;260,1814;7,8;2,1809;0,0;0,0;0,0;0,0085;0,76;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,2084;260,1814;7,8;2,1338;0,0;0,0;0,0;0,0094;0,81;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,2222;260,1814;7,8;1,669;0,0;0,0;0,0;0,0102;0,84;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,2361;260,1814;7,8;1,293;0,0;0,0;0,0;0,0109;0,87;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,25;260,1814;7,8;0,9359;0,0;0,0;0,0;0,0115;0,89;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,2639;260,1814;7,8;0,5574;0,0;0,0;0,0;0,0121;0,9;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,2778;260,1814;7,8;0,2062;0,0;0,0;0,0;0,0127;0,9;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,2917;260,1814;7,8;0,1359;0,0;0,0;0,0;0,0132;0,91;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,3056;259,9315;7,8;-0,106;0,0;0,0;0,0;0,0137;0,9;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,3195;259,9014;7,8;-0,4315;0,0;0,0;0,0;0,0141;0,9;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,3334;259,8713;7,8;-0,5757;0,0;0,0;0,0;0,0145;0,89;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,3472;259,8412;7,8;-0,6632;0,0;0,0;0,0;0,0148;0,87;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,3611;259,8111;8,0;-0,687;0,0;0,0;0,0;0,0151;0,86;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,375;259,7802;8,0;-0,6518;0,0;0,0;0,0;0,0155;0,85;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,3889;259,7494;8,0;-0,6295;0,0;0,0;0,0;0,0158;0,83;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,4028;259,7258;8,0;-0,6116;0,0;0,0;0,0;0,0162;0,82;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,4167;259,7258;8,0;-0,6078;0,0;0,0;0,0;0,0165;0,81;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,4306;259,7258;8,0;-0,5763;0,0;0,0;0,0;0,0168;0,8;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,4445;259,7258;8,0;-0,454;0,0;0,0;0,0;0,0172;0,79;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,4584;259,7258;8,0;-0,3328;0,0;0,0;0,0;0,0175;0,78;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,4722;259,7258;8,0;-0,242;0,0;0,0;0,0;0,0179;0,77;1;0,0;1;4;0;0
7;HapticsAdaptiveCC;2;0,4861;259,7258;8,0;-0,1716;0,0;0,0;0,0;0,0183;0,77;1;0,0;1;4;0;0
