"participant_id";"condition";"trial_order";"Timestamp";"Trackposition";"Speed_KmH";"SteerAngle";"Haptic_L_Norm";"Haptic_R_Norm";"LkaNormEffort";"CTE_Meters";"B_HeadingError_Deg";"IsOnStraight";"TrackCurvature_1/Meters";"LKA_Switch";"SecTaskNum";"SecTaskIsTarget";"SecTaskPressed"
5;"BaselineCW";1;0;278.0935;5.7;-1.7472;0;0;0;0.0061;0.16;1;0.0001;1;0;0;0
5;"BaselineCW";1;0.0139;278.1155;5.7;-1.8297;0;0;0;0.0059;0.13;1;0.0001;1;0;0;0
5;"BaselineCW";1;0.0278;278.1375;5.5;-1.8692;0;0;0;0.0057;0.11;1;0.0001;1;0;0;0
5;"BaselineCW";1;0.0417;278.1587;5.5;-1.8742;0;0;0;0.0055;0.08;1;0.0001;1;0;0;0
5;"BaselineCW";1;0.0556;278.1799;5.5;-1.8872;0;0;0;0.0052;0.06;1;0;1;0;0;0
5;"BaselineCW";1;0.0695;278.4088;5.5;-1.8905;0;0;0;0.0049;0.03;1;0;1;0;0;0
5;"BaselineCW";1;0.0833;278.4088;5.5;-1.8908;0;0;0;0.0047;0;1;0;1;0;0;0
5;"BaselineCW";1;0.0972;278.4088;5.5;-1.8747;0;0;0;0.0044;-0.02;1;0;1;0;0;0
5;"BaselineCW";1;0.1111;278.4088;5.5;-1.821;0;0;0;0.0041;-0.04;1;0;1;0;0;0
5;"BaselineCW";1;0.125;278.4088;5.5;-1.7269;0;0;0;0.0038;-0.07;1;0;1;0;0;0
5;"BaselineCW";1;0.1389;278.4088;5.5;-1.6045;0;0;0;0.0036;-0.09;1;0;1;0;0;0
5;"BaselineCW";1;0.1528;278.4088;5.5;-1.4957;0;0;0;0.0033;-0.11;1;0;1;0;0;0
5;"BaselineCW";1;0.1667;278.4088;5.5;-1.3525;0;0;0;0.0031;-0.13;1;0;1;0;0;0
5;"BaselineCW";1;0.1806;278.4088;5.5;-1.1512;0;0;0;0.0028;-0.15;1;0;1;0;0;0
5;"BaselineCW";1;0.1945;278.4088;5.5;-0.9399;0;0;0;0.0026;-0.16;1;0;1;0;0;0
5;"BaselineCW";1;0.2083;278.4134;5.5;-0.6852;0;0;0;0.0025;-0.17;1;0;1;0;0;0
5;"BaselineCW";1;0.2222;278.4346;5.5;-0.5569;0;0;0;0.0023;-0.18;1;0.0001;1;0;0;0
5;"BaselineCW";1;0.2361;278.4558;5.5;-0.4731;0;0;0;0.0022;-0.18;1;0.0002;1;0;0;0
5;"BaselineCW";1;0.25;278.477;5.5;-0.3648;0;0;0;0.002;-0.19;1;0.0002;1;0;0;0
5;"BaselineCW";1;0.2639;278.4982;5.5;-0.2549;0;0;0;0.0019;-0.19;1;0.0003;1;0;0;0
5;"BaselineCW";1;0.2778;278.5194;5.5;-0.2246;0;0;0;0.0018;-0.19;1;0.0004;1;0;0;0
5;"BaselineCW";1;0.2917;278.5406;5.5;-0.2086;0;0;0;0.0017;-0.2;1;0.0004;1;0;0;0
5;"BaselineCW";1;0.3056;278.5619;5.5;-0.1813;0;0;0;0.0016;-0.2;1;0.0005;1;0;0;0
5;"BaselineCW";1;0.3195;278.5831;5.5;-0.1783;0;0;0;0.0015;-0.2;1;0.0006;1;0;0;0
5;"BaselineCW";1;0.3333;278.6043;5.5;-0.1681;0;0;0;0.0014;-0.2;1;0.0006;1;0;0;0
5;"BaselineCW";1;0.3472;278.6255;5.5;-0.1756;0;0;0;0.0013;-0.2;1;0.0007;1;0;0;0
5;"BaselineCW";1;0.3611;278.8654;5.5;-0.2286;0;0;0;0.0011;-0.21;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.375;278.8654;5.5;-0.2911;0;0;0;0.001;-0.21;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.3889;278.8654;5.5;-0.3949;0;0;0;0.0009;-0.21;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.4028;278.8654;5.5;-0.4947;0;0;0;0.0007;-0.22;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.4167;278.8654;5.5;-0.5962;0;0;0;0.0005;-0.23;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.4306;278.8654;5.5;-0.695;0;0;0;0.0004;-0.24;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.4445;278.8654;5.5;-0.772;0;0;0;0.0001;-0.25;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.4583;278.8654;5.5;-0.8679;0;0;0;-0.0001;-0.26;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.4722;278.8654;5.5;-0.8883;0;0;0;-0.0003;-0.27;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.4861;278.8654;5.5;-1.0561;0;0;0;-0.0006;-0.29;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.5;278.8654;5.5;-1.2547;0;0;0;-0.0009;-0.31;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.5139;278.8802;5.5;-1.2677;0;0;0;-0.0012;-0.32;1;0.0014;1;0;0;0
5;"BaselineCW";1;0.5278;278.9014;5.5;-1.2738;0;0;0;-0.0015;-0.34;1;0.0013;1;0;0;0
5;"BaselineCW";1;0.5417;278.9226;5.5;-1.2876;0;0;0;-0.0018;-0.36;1;0.0013;1;0;0;0
