participant_id,trial_order,condition,laptime_total_seconds,speed_mean_kmh_overall,cte_absmean_meters_overall,cte_absmean_meters_straight,cte_absmean_meters_shortturn,cte_absmean_meters_longturn,cte_sd_meters_overall,cte_sd_meters_straight,cte_sd_meters_shortturn,cte_sd_meters_longturn,cte_sd_meters_manual,cte_sd_meters_warning,cte_sd_meters_intervention,headingerror_absmean_deg_overall,headingerror_absmean_deg_straight,headingerror_absmean_deg_shortturn,headingerror_absmean_deg_longturn,headingerror_absmean_deg_manual,headingerror_absmean_deg_warning,headingerror_absmean_deg_intervention,headingerror_sd_deg_overall,headingerror_sd_deg_straight,headingerror_sd_deg_shortturn,headingerror_sd_deg_longturn,headingerror_sd_deg_manual,headingerror_sd_deg_warning,headingerror_sd_deg_intervention,steeringangle_sd_deg_overall,steeringangle_sd_deg_straight,steeringangle_sd_deg_shortturn,steeringangle_sd_deg_longturn,steeringangle_sd_deg_manual,steeringangle_sd_deg_warning,steeringangle_sd_deg_intervention,steeringreversal_perminute_overall,steeringreversal_perminute_manual,steeringreversal_perminute_warning,steeringreversal_perminute_intervention,steeringreversal_perminute_straight,steeringreversal_perminute_shortturn,steeringreversal_perminute_longturn,lka_switch_percenttime_overall,activelkaeffort_absmean_overall,activelkaeffort_absmean_straight,activelkaeffort_absmean_shortturn,activelkaeffort_absmean_longturn,percenttime_manual,percenttime_warning,percenttime_intervention,nback_hitrate_percent,nback_farate_percent,nback_accuracy_corrected_percent,nback_reactiontime_penalized_seconds,nback_processingspeed_inverseseconds
5,1,Baseline,128.8195,9.6199,0.4136,0.4635,0.5447,0.2241,0.1972,0.1604,0.1709,0.119,0.1547,,0.079,1.6452,0.799,3.9495,1.6154,1.8601,,1.3858,2.5783,1.2071,4.7959,2.0998,2.7393,,2.2834,3.5553,1.2282,6.8955,2.0528,3.3586,,2.9457,225.6927,277.389,,163.2955,217.9896,198.2449,260.0736,100.0,0.1019,0.0605,0.2182,,54.6895,0.0,45.3105,77.7778,2.9412,74.8366,0.7976,1.3934
5,4,Baseline,140.4861,8.8583,0.4252,0.4391,0.4431,0.383,0.667,0.7164,0.4771,0.1181,0.2725,,1.0633,3.1552,3.2808,4.5504,2.0305,2.5277,,4.7908,6.0131,7.0006,5.4808,2.4393,4.3253,,8.9211,3.9614,3.2696,6.7828,2.3634,3.875,,4.1519,292.2929,294.6186,,286.2309,303.5413,205.8112,318.8265,100.0,0.2554,0.3013,0.2082,0.1156,72.2716,0.0,27.7284,33.3333,3.4188,29.9145,0.8426,1.2149
6,2,Baseline,117.6389,10.5341,0.2981,0.2761,0.361,0.2973,0.2571,0.1709,0.3949,0.1428,0.2116,,0.453,1.3242,0.8993,2.9629,1.0712,1.2672,,1.7388,1.8732,1.2073,3.6134,1.1367,1.7651,,2.4692,3.0488,1.0109,6.0595,1.6753,2.7612,,4.3997,288.9248,292.716,,261.3534,284.8431,233.3269,326.1954,33.6914,0.0822,0.0574,0.1142,,87.9117,0.0,12.0883,50.0,2.0202,47.9798,1.162,0.8694
6,3,Baseline,130.6528,9.4382,0.3218,0.2702,0.2939,0.425,0.1883,0.1437,0.2843,0.0785,0.1723,,0.1935,1.6665,0.8842,3.5779,1.8609,1.6458,,1.8651,2.4112,1.2659,4.202,2.02,2.4248,,2.2045,3.1416,1.0176,6.2264,1.8343,3.2421,,1.6875,283.5487,295.404,,169.9428,347.6055,247.7545,196.6844,100.0,0.0689,0.1321,0.0213,0.0472,90.5506,0.0,9.4494,71.4286,0.9259,70.5026,1.2472,0.8147
7,1,Baseline,137.6111,8.9955,0.1304,0.0731,0.1638,0.1991,0.1349,0.0873,0.1873,0.0569,0.1349,,,1.1303,0.6822,2.5567,1.011,1.1303,,,1.5264,0.9686,2.6822,0.9883,1.5264,,,2.9966,1.1842,5.8403,1.515,2.9966,,,274.8755,274.8755,,,272.9762,241.1345,296.8554,100.0,,,,,100.0,0.0,0.0,33.3333,1.5267,31.8066,0.7569,1.354
7,5,Baseline,102.8333,11.9923,0.2084,0.1154,0.3534,0.2902,0.2267,0.125,0.3988,0.1151,0.1773,,0.5499,1.5298,1.0111,3.4939,1.2915,1.4409,,3.44,2.3588,1.4372,4.4925,1.4168,2.2241,,4.1925,3.1664,1.156,6.51,1.4812,3.0825,,3.7406,276.3056,281.2222,,170.5626,286.3072,248.649,274.7617,100.0,0.1486,,0.1793,0.048,95.5571,0.0,4.4429,25.0,5.0505,19.9495,0.7222,1.3847
8,3,Baseline,100.0556,12.384,0.1905,0.1684,0.395,0.0976,0.243,0.1367,0.4306,0.099,0.2039,,0.1262,1.3924,0.9171,2.8913,1.252,1.3251,,2.4954,1.9582,1.2317,3.5613,1.3682,1.8455,,3.2883,3.085,0.9716,6.1957,1.248,2.9579,,4.577,365.4536,364.8502,,375.3519,409.3176,336.8859,308.1809,100.0,0.1712,0.0608,0.22,,94.254,0.0,5.746,50.0,2.0833,47.9167,0.7292,1.5429
8,6,Baseline,93.1806,13.2856,0.4322,0.4459,0.4437,0.4023,0.1351,0.1192,0.2031,0.0955,0.1127,,0.0781,1.5429,0.8724,3.137,1.6451,1.6429,,1.3177,2.2992,1.3735,3.7363,1.9212,2.3816,,1.9194,3.2927,0.9905,6.4316,1.8938,2.8665,,3.3744,289.4853,287.0267,,295.0233,345.0171,250.962,221.9576,100.0,0.0838,0.0497,0.2047,0.0258,69.2548,0.0,30.7452,100.0,4.4944,95.5056,0.7882,1.2837
9,4,Baseline,99.6111,12.4691,0.2216,0.2226,0.2414,0.2093,0.3104,0.2632,0.2765,0.2851,0.1872,,0.7423,4.0962,4.5304,3.0976,3.7248,1.9346,,23.8653,9.9775,12.0237,3.7107,6.409,3.6043,,23.7869,5.4986,5.6547,6.128,4.6886,3.1034,,13.6126,290.0565,278.3792,,396.8537,317.8405,286.9381,235.0595,100.0,0.4194,0.5967,0.0505,0.2588,90.1436,0.0,9.8564,25.0,2.1053,22.8947,1.1667,0.8571
9,5,Baseline,95.0277,13.0308,0.1359,0.1203,0.1749,0.141,0.1494,0.1274,0.2103,0.1391,0.1494,,,1.6684,1.0026,2.8142,2.0942,1.6684,,,2.0829,1.365,3.2699,1.8457,2.0829,,,3.0037,1.2906,6.0678,1.7218,3.0037,,,298.3672,298.3672,,,250.8718,229.8753,389.8928,100.0,,,,,100.0,0.0,0.0,66.6667,1.0753,65.5914,1.4166,0.7083
