participant_id,condition,laptime_total_seconds,steering_reversal_rate,srr_during_vibration,srr_during_lka,cte_absmean_meters,pct_time_edge_region,srr_straight,srr_vibration_straight,srr_lka_straight,cte_absmean_straight,srr_short_turn,srr_vibration_short_turn,srr_lka_short_turn,cte_absmean_short_turn,srr_long_turn,srr_vibration_long_turn,srr_lka_long_turn,cte_absmean_long_turn,nback_hitrate_pct,nback_farate_pct,nback_accuracy_corrected_pct,nback_penalized_rt_seconds,nback_processing_speed,Trust_Score,TAM_PU,TAM_PEOU,TAM_Total,Specify what gender you identify with,How old are you?,How often do you ride a bicycle?,How confident are you in your cycling skills?,Have you used VR systems or simulators before?,"If yes, how often do you use VR or simulators?",How familiar are you with VR or simulation environments?
5,Baseline,134.6528,259.2266,0.0,3.1242,0.4194,36.5194,146.5703,0.0,3.2882,0.4513,183.6588,0.0,2.4839,0.4939,289.7936,0.0,2.1914,0.3036,55.5556,3.18,52.3756,0.8201,1.3042,3.0833,5.1,5.1,5.1,Female,27,Rarely,3,Yes,Rarely,3
5,HapticsAdaptive,120.757,345.4248,5.3375,7.4438,0.2896,15.1294,196.9247,5.4934,7.7809,0.3861,319.931,5.7878,10.0046,0.1972,281.582,4.4253,0.8572,0.1798,55.0,3.8111,51.1889,0.8796,1.1966,3.0833,5.6,5.5,5.55,Female,27,Rarely,3,Yes,Rarely,3
5,HapticsFixed,121.875,413.4483,7.3442,5.2566,0.3454,32.0615,267.0381,8.8196,6.6696,0.3708,341.3717,7.414,6.707,0.2751,262.8674,1.521,2.8846,0.3489,35.7142,3.434,32.2802,0.8646,1.2292,2.9583,4.7,4.6,4.65,Female,27,Rarely,3,Yes,Rarely,3
6,Baseline,124.1458,286.4978,0.0,2.9975,0.3099,10.7636,160.7002,0.0,4.4793,0.2732,219.057,0.0,2.7648,0.3274,261.7434,0.0,0.4366,0.3611,60.7143,1.473,59.2412,1.2046,0.842,3.0,2.6,3.4,3.0,Male,23,Rarely,5,Yes,Rarely,2
6,HapticsAdaptive,114.5556,443.1936,7.3392,8.173,0.3528,28.2813,198.0495,5.9072,6.2208,0.3441,238.4554,2.9818,0.0,0.1544,630.7511,9.0008,8.7946,0.4848,66.6667,0.0,66.6667,1.158,0.8719,3.0417,3.3,5.1,4.2,Male,23,Rarely,5,Yes,Rarely,2
6,HapticsFixed,115.9028,504.5238,9.3479,7.7357,0.3252,28.1854,250.4874,10.6107,3.698,0.2684,425.3432,10.6198,7.9162,0.2396,544.9431,8.1587,3.2556,0.4729,35.0,2.381,32.619,1.1736,0.8647,4.2083,3.8,4.9,4.35,Male,23,Rarely,5,Yes,Rarely,2
7,Baseline,120.2222,275.8437,0.0,1.1854,0.1694,2.2214,143.7244,0.0,0.0,0.0942,222.2386,0.0,1.0714,0.2586,286.1466,0.0,1.5584,0.2446,29.1666,3.2886,25.8781,0.7395,1.3694,2.625,2.3,4.6,3.45,Female,21,Rarely,6,Yes,Rarely,2
7,HapticsAdaptive,115.5348,311.9506,5.3595,7.1428,0.121,0.296,157.2049,6.2857,0.0,0.093,291.5784,4.8123,7.1428,0.212,308.8714,6.2844,0.0,0.1128,38.3333,0.0,38.3333,0.7222,1.387,2.7917,2.1,3.9,3.0,Female,21,Rarely,6,Yes,Rarely,2
7,HapticsFixed,141.8472,364.6304,9.2904,3.8966,0.1906,7.5666,162.7435,9.7902,3.6036,0.152,405.8758,9.9856,3.9699,0.324,353.972,14.2921,0.0,0.1512,48.5714,0.0,48.5714,0.7413,3.369,1.9167,1.7,3.2,2.45,Female,21,Rarely,6,Yes,Rarely,2
8,Baseline,96.6181,327.7782,0.0,4.6591,0.3114,18.2456,191.8696,0.0,5.7329,0.3072,268.3126,0.0,3.8448,0.4194,265.4078,0.0,2.0988,0.25,75.0,3.2888,71.7112,0.7587,1.4133,3.4583,1.6,3.8,2.7,Male,20,Several times per week,6,No,This is my first time,3
