# Study: LKA_Haptics | Participant: 10 | Condition: HapticsAdaptiveCW | Init: 20260128_171230 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
23,5139;278,0646;10,20;0,5097;0,0129;0,0000;0,0000;0,0000;0,0000;0,0000;0,0161;0,63;1,14;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
23,5278;278,1039;10,20;0,7355;0,0134;0,0000;0,0000;0,0000;0,0000;0,0000;0,0167;0,65;1,39;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
23,5417;278,1433;10,20;1,0905;0,0139;0,0000;0,0000;0,0000;0,0000;0,0000;0,0174;0,68;1,77;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
23,5556;278,4088;10,20;1,2854;0,0146;0,0000;0,0000;0,0000;0,0000;0,0000;0,0182;0,71;2,00;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
23,5694;278,4088;10,20;1,4698;0,0153;0,0000;0,0000;0,0000;0,0000;0,0000;0,0191;0,75;2,22;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
23,5833;278,4088;10,20;1,6275;0,0160;0,0000;0,0000;0,0000;0,0000;0,0000;0,0201;0,80;2,42;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
23,5972;278,4088;10,20;1,6590;0,0168;0,0000;0,0000;0,0000;0,0000;0,0000;0,0210;0,84;2,50;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
23,6111;278,4088;10,20;1,7319;0,0177;0,0000;0,0000;0,0000;0,0000;0,0000;0,0221;0,89;2,62;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
23,6250;278,4088;10,20;1,7959;0,0185;0,0000;0,0000;0,0000;0,0000;0,0000;0,0232;0,93;2,73;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
23,6389;278,4187;10,20;1,7655;0,0194;0,0000;0,0000;0,0000;0,0000;0,0000;0,0243;0,98;2,75;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
23,6528;278,4580;10,20;1,7489;0,0203;0,0000;0,0000;0,0000;0,0000;0,0000;0,0254;1,03;2,78;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
23,6667;278,4973;10,20;1,7389;0,0213;0,0000;0,0000;0,0000;0,0000;0,0000;0,0266;1,07;2,81;1;0,0003;0,00;0;1;1;7;0;0;410;2048;2048
23,6806;278,5367;10,20;1,7356;0,0222;0,0000;0,0000;0,0000;0,0000;0,0000;0,0278;1,12;2,86;1;0,0004;0,00;0;1;1;7;0;0;410;2048;2048
23,6944;278,5760;10,20;1,7316;0,0232;0,0000;0,0000;0,0000;0,0000;0,0000;0,0290;1,17;2,90;1;0,0005;0,00;0;1;1;7;0;0;410;2048;2048
23,7083;278,6154;10,20;1,7051;0,0242;0,0000;0,0000;0,0000;0,0000;0,0000;0,0303;1,21;2,92;1;0,0007;0,00;0;1;1;7;0;0;410;2048;2048
23,7222;278,8654;10,20;1,6998;0,0252;0,0000;0,0000;0,0000;0,0000;0,0000;0,0315;1,26;2,96;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
23,7361;278,8654;10,20;1,6209;0,0263;0,0000;0,0000;0,0000;0,0000;0,0000;0,0328;1,30;2,92;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
23,7500;278,8654;10,20;1,4955;0,0273;0,0000;0,0000;0,0000;0,0000;0,0000;0,0341;1,34;2,84;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
23,7639;278,8654;10,20;1,2346;0,0283;0,0000;0,0000;0,0000;0,0000;0,0000;0,0354;1,37;2,61;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
23,7778;278,8654;10,20;1,0990;0,0293;0,0000;0,0000;0,0000;0,0000;0,0000;0,0366;1,40;2,50;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
23,7917;278,8654;10,20;0,9295;0,0302;0,0000;0,0000;0,0000;0,0000;0,0000;0,0378;1,43;2,36;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
23,8056;278,8907;12,60;0,7614;0,0312;0,0000;0,0000;0,0000;0,0000;0,0000;0,0390;1,45;2,21;1;0,0013;0,00;0;1;1;7;0;0;410;2048;2048
23,8194;278,9393;12,60;0,6208;0,0324;0,0000;0,0000;0,0000;0,0000;0,0000;0,0405;1,47;2,09;1;0,0012;0,00;0;1;1;7;0;0;410;2048;2048
23,8333;278,9879;12,60;0,5927;0,0335;0,0000;0,0000;0,0000;0,0000;0,0000;0,0419;1,49;2,09;1;0,0011;0,00;0;1;1;7;0;0;410;2048;2048
23,8472;279,0364;12,60;0,4333;0,0346;0,0000;0,0000;0,0000;0,0000;0,0000;0,0433;1,51;1,94;1;0,0009;0,00;0;1;1;7;0;0;410;2048;2048
23,8611;279,0850;12,60;-0,0039;0,0357;0,0000;0,0000;0,0000;0,0000;0,0000;0,0446;1,51;1,50;1;0,0008;0,00;0;1;1;7;0;0;410;2048;2048
23,8750;279,3112;12,60;-0,2785;0,0366;0,0000;0,0000;0,0000;0,0000;0,0000;0,0457;1,50;1,22;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
23,8889;279,3112;12,60;-0,4758;0,0375;0,0000;0,0000;0,0000;0,0000;0,0000;0,0468;1,49;1,01;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
23,9028;279,3112;12,60;-0,6485;0,0383;0,0000;0,0000;0,0000;0,0000;0,0000;0,0479;1,46;0,82;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
23,9167;279,3112;12,60;-0,6830;0,0391;0,0000;0,0000;0,0000;0,0000;0,0000;0,0489;1,44;0,76;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
23,9306;279,3280;12,60;-0,8090;0,0399;0,0000;0,0000;0,0000;0,0000;0,0000;0,0498;1,42;0,61;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
23,9444;279,3766;12,60;-0,9418;0,0406;0,0000;0,0000;0,0000;0,0000;0,0000;0,0507;1,39;0,44;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
