# Study: LKA_Haptics | Participant: 5 | Condition: BaselineCC | Init: 20260128_105450 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
13,2778;260,6377;6,10;1,4220;0,0172;0,0000;0,0000;0,0000;0,0000;0,0000;0,0215;0,52;1,94;1;0,0000;0,00;0;1;1;-1;0;0;410;2048;2048
13,2917;260,6377;6,10;1,7311;0,0176;0,0000;0,0000;0,0000;0,0000;0,0000;0,0220;0,54;2,27;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,3056;260,6377;6,10;1,7927;0,0180;0,0000;0,0000;0,0000;0,0000;0,0000;0,0225;0,57;2,36;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,3194;260,6377;6,10;1,9867;0,0185;0,0000;0,0000;0,0000;0,0000;0,0000;0,0231;0,60;2,59;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,3333;260,6377;6,10;2,2353;0,0190;0,0000;0,0000;0,0000;0,0000;0,0000;0,0237;0,64;2,87;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,3472;260,6377;6,10;2,8224;0,0196;0,0000;0,0000;0,0000;0,0000;0,0000;0,0245;0,68;3,51;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,3611;260,6377;6,10;3,1336;0,0202;0,0000;0,0000;0,0000;0,0000;0,0000;0,0253;0,73;3,87;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,3750;260,6377;6,10;3,4765;0,0209;0,0000;0,0000;0,0000;0,0000;0,0000;0,0262;0,79;4,26;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,3889;260,3989;6,10;3,7068;0,0217;0,0000;0,0000;0,0000;0,0000;0,0000;0,0271;0,85;4,55;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,4028;260,3754;6,10;3,9746;0,0225;0,0000;0,0000;0,0000;0,0000;0,0000;0,0281;0,91;4,88;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,4167;260,3519;6,10;4,1877;0,0233;0,0000;0,0000;0,0000;0,0000;0,0000;0,0292;0,98;5,16;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
13,4306;260,3284;6,10;4,2303;0,0242;0,0000;0,0000;0,0000;0,0000;0,0000;0,0303;1,04;5,27;1;0,0000;0,00;0;1;1;3;0;0;410;2048;2048
