# Study: LKA_Haptics | Participant: 6 | Condition: BaselineCW | Init: 20260128_133229 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
25,8194;278,0895;5,60;-0,6002;0,0638;0,0000;0,0000;0,0000;0,0000;0,0000;0,0797;2,07;1,47;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
25,8333;278,1111;5,60;-0,6752;0,0643;0,0000;0,0000;0,0000;0,0000;0,0000;0,0804;2,06;1,38;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
25,8472;278,1327;5,50;-0,7443;0,0648;0,0000;0,0000;0,0000;0,0000;0,0000;0,0811;2,05;1,30;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
25,8611;278,1539;5,50;-0,8732;0,0653;0,0000;0,0000;0,0000;0,0000;0,0000;0,0817;2,03;1,16;1;0,0001;0,00;0;1;1;0;0;0;410;2048;2048
25,8750;278,1751;5,50;-0,8992;0,0658;0,0000;0,0000;0,0000;0,0000;0,0000;0,0823;2,02;1,12;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
25,8889;278,4088;5,50;-1,0261;0,0663;0,0000;0,0000;0,0000;0,0000;0,0000;0,0829;2,01;0,98;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
25,9028;278,4088;5,50;-1,3466;0,0667;0,0000;0,0000;0,0000;0,0000;0,0000;0,0834;1,99;0,64;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
25,9167;278,4088;5,50;-1,5230;0,0672;0,0000;0,0000;0,0000;0,0000;0,0000;0,0839;1,97;0,45;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
25,9306;278,4088;5,50;-1,6663;0,0675;0,0000;0,0000;0,0000;0,0000;0,0000;0,0844;1,95;0,28;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
25,9444;278,4088;5,50;-1,6950;0,0679;0,0000;0,0000;0,0000;0,0000;0,0000;0,0849;1,92;0,23;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
25,9583;278,4088;5,50;-1,9035;0,0682;0,0000;0,0000;0,0000;0,0000;0,0000;0,0853;1,90;0,00;1;0,0000;0,00;0;1;1;0;0;0;410;2048;2048
