# Study: LKA_Haptics | Participant: 6 | Condition: HapticsAdaptiveCW | Init: 20260128_134530 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
20,4444;278,0920;6,10;-0,4705;0,0384;0,0000;0,0000;0,0000;0,0000;0,0000;0,0480;1,14;0,67;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
20,4583;278,1155;6,10;-0,4954;0,0387;0,0000;0,0000;0,0000;0,0000;0,0000;0,0484;1,13;0,64;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
20,4722;278,1390;6,10;-0,5149;0,0391;0,0000;0,0000;0,0000;0,0000;0,0000;0,0488;1,12;0,61;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
20,4861;278,1626;6,10;-0,5301;0,0393;0,0000;0,0000;0,0000;0,0000;0,0000;0,0492;1,12;0,59;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,5000;278,4088;6,10;-0,5415;0,0396;0,0000;0,0000;0,0000;0,0000;0,0000;0,0495;1,11;0,57;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,5139;278,4088;6,10;-0,5479;0,0399;0,0000;0,0000;0,0000;0,0000;0,0000;0,0499;1,10;0,55;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,5278;278,4088;6,10;-0,5446;0,0402;0,0000;0,0000;0,0000;0,0000;0,0000;0,0503;1,09;0,55;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,5417;278,4088;6,10;-0,5437;0,0405;0,0000;0,0000;0,0000;0,0000;0,0000;0,0506;1,08;0,54;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,5556;278,4088;6,30;-0,5469;0,0408;0,0000;0,0000;0,0000;0,0000;0,0000;0,0509;1,08;0,53;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,5694;278,4088;6,30;-0,5573;0,0410;0,0000;0,0000;0,0000;0,0000;0,0000;0,0513;1,07;0,51;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,5833;278,4088;6,30;-0,5734;0,0413;0,0000;0,0000;0,0000;0,0000;0,0000;0,0516;1,06;0,49;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,5972;278,4088;6,30;-0,5858;0,0416;0,0000;0,0000;0,0000;0,0000;0,0000;0,0520;1,05;0,46;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,6111;278,4088;6,30;-0,5977;0,0419;0,0000;0,0000;0,0000;0,0000;0,0000;0,0523;1,04;0,44;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,6250;278,4088;6,30;-0,6209;0,0421;0,0000;0,0000;0,0000;0,0000;0,0000;0,0527;1,03;0,41;1;0,0000;0,00;0;1;1;7;0;0;410;2048;2048
20,6389;278,4260;6,30;-0,6538;0,0424;0,0000;0,0000;0,0000;0,0000;0,0000;0,0530;1,02;0,37;1;0,0001;0,00;0;1;1;7;0;0;410;2048;2048
20,6528;278,4503;6,30;-0,6948;0,0426;0,0000;0,0000;0,0000;0,0000;0,0000;0,0533;1,01;0,32;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
20,6667;278,4746;6,30;-0,7445;0,0429;0,0000;0,0000;0,0000;0,0000;0,0000;0,0536;1,00;0,25;1;0,0002;0,00;0;1;1;7;0;0;410;2048;2048
20,6806;278,4989;6,30;-0,7917;0,0431;0,0000;0,0000;0,0000;0,0000;0,0000;0,0539;0,99;0,20;1;0,0003;0,00;0;1;1;7;0;0;410;2048;2048
20,6944;278,5233;6,30;-0,8419;0,0433;0,0000;0,0000;0,0000;0,0000;0,0000;0,0541;0,97;0,13;1;0,0004;0,00;0;1;1;7;0;0;410;2048;2048
20,7083;278,5475;6,30;-0,8824;0,0435;0,0000;0,0000;0,0000;0,0000;0,0000;0,0544;0,96;0,08;1;0,0005;0,00;0;1;1;7;0;0;410;2048;2048
20,7222;278,5719;6,30;-0,9135;0,0437;0,0000;0,0000;0,0000;0,0000;0,0000;0,0546;0,95;0,03;1;0,0005;0,00;0;1;1;7;0;0;410;2048;2048
20,7361;278,5962;6,30;-0,9435;0,0439;0,0000;0,0000;0,0000;0,0000;0,0000;0,0549;0,93;0,00;1;0,0006;0,00;0;1;1;7;0;0;410;2048;2048
20,7500;278,6205;6,30;-0,9665;0,0441;0,0000;0,0000;0,0000;0,0000;0,0000;0,0551;0,92;-0,05;1;0,0007;0,00;0;1;1;7;0;0;410;2048;2048
20,7639;278,8654;6,30;-0,9802;0,0442;0,0000;0,0000;0,0000;0,0000;0,0000;0,0553;0,90;-0,08;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,7778;278,8654;6,30;-0,9854;0,0444;0,0000;0,0000;0,0000;0,0000;0,0000;0,0555;0,89;-0,10;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,7917;278,8654;6,30;-0,9770;0,0446;0,0000;0,0000;0,0000;0,0000;0,0000;0,0557;0,87;-0,11;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,8056;278,8654;6,30;-0,9582;0,0447;0,0000;0,0000;0,0000;0,0000;0,0000;0,0559;0,86;-0,10;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,8194;278,8654;6,30;-0,9161;0,0449;0,0000;0,0000;0,0000;0,0000;0,0000;0,0561;0,84;-0,07;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,8333;278,8654;6,30;-0,8620;0,0451;0,0000;0,0000;0,0000;0,0000;0,0000;0,0563;0,83;-0,03;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,8472;278,8654;6,30;-0,7904;0,0452;0,0000;0,0000;0,0000;0,0000;0,0000;0,0565;0,81;0,02;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,8611;278,8654;6,30;-0,7073;0,0454;0,0000;0,0000;0,0000;0,0000;0,0000;0,0568;0,80;0,09;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,8750;278,8654;6,30;-0,6389;0,0456;0,0000;0,0000;0,0000;0,0000;0,0000;0,0570;0,79;0,15;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,8889;278,8654;6,30;-0,5862;0,0458;0,0000;0,0000;0,0000;0,0000;0,0000;0,0572;0,78;0,20;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
20,9028;278,8878;6,30;-0,5267;0,0460;0,0000;0,0000;0,0000;0,0000;0,0000;0,0575;0,78;0,25;1;0,0014;0,00;0;1;1;7;0;0;410;2048;2048
