# Study: LKA_Haptics | Participant: 11 | Condition: HapticsFixedCC | Init: 20260129_102723 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed
0,0000;260,6377;7,2000;-0,0642;0,0422;0,0000;0,0000;0,0000;0,0000;0,0000;0,0528;1,1700;1,1100;1;0,0000;0,0000;0;1;1;4;0;0
0,0139;260,6377;7,2000;-0,0676;0,0427;0,0000;0,0000;0,0000;0,0000;0,0000;0,0534;1,1700;1,1000;1;0,0000;0,0000;0;1;1;4;0;0
0,0278;260,6377;7,2000;-0,0654;0,0432;0,0000;0,0000;0,0000;0,0000;0,0000;0,0540;1,1700;1,1000;1;0,0000;0,0000;0;1;1;4;0;0
0,0417;260,6377;7,2000;-0,0597;0,0436;0,0000;0,0000;0,0000;0,0000;0,0000;0,0545;1,1700;1,1100;1;0,0000;0,0000;0;1;1;4;0;0
0,0556;260,6377;7,2000;-0,0459;0,0441;0,0000;0,0000;0,0000;0,0000;0,0000;0,0551;1,1700;1,1200;1;0,0000;0,0000;0;1;1;4;0;0
0,0695;260,6377;7,2000;-0,0338;0,0445;0,0000;0,0000;0,0000;0,0000;0,0000;0,0557;1,1700;1,1300;1;0,0000;0,0000;0;1;1;4;0;0
0,0834;260,6377;7,2000;-0,0201;0,0450;0,0000;0,0000;0,0000;0,0000;0,0000;0,0563;1,1700;1,1500;1;0,0000;0,0000;0;1;1;4;0;0
0,0973;260,3902;7,2000;-0,0173;0,0455;0,0000;0,0000;0,0000;0,0000;0,0000;0,0569;1,1700;1,1500;1;0,0000;0,0000;0;1;1;4;0;0
0,1111;260,3624;7,2000;-0,0118;0,0460;0,0000;0,0000;0,0000;0,0000;0,0000;0,0574;1,1700;1,1600;1;0,0000;0,0000;0;1;1;4;0;0
0,1250;260,3346;7,2000;0,0056;0,0464;0,0000;0,0000;0,0000;0,0000;0,0000;0,0580;1,1700;1,1800;1;0,0000;0,0000;0;1;1;4;0;0
0,1389;260,3069;7,2000;0,0167;0,0469;0,0000;0,0000;0,0000;0,0000;0,0000;0,0586;1,1700;1,1900;1;0,0000;0,0000;0;1;1;4;0;0
0,1528;260,2791;7,2000;0,0189;0,0474;0,0000;0,0000;0,0000;0,0000;0,0000;0,0592;1,1700;1,1900;1;0,0000;0,0000;0;1;1;4;0;0
0,1667;260,2513;7,2000;0,0407;0,0479;0,0000;0,0000;0,0000;0,0000;0,0000;0,0598;1,1700;1,2100;1;0,0000;0,0000;0;1;1;4;0;0
0,1806;260,2235;7,2000;0,0508;0,0483;0,0000;0,0000;0,0000;0,0000;0,0000;0,0604;1,1700;1,2300;1;0,0000;0,0000;0;1;1;4;0;0
0,1945;260,1958;7,2000;0,0559;0,0488;0,0000;0,0000;0,0000;0,0000;0,0000;0,0610;1,1800;1,2300;1;0,0000;0,0000;0;1;1;4;0;0
0,2084;260,1814;7,2000;0,0611;0,0493;0,0000;0,0000;0,0000;0,0000;0,0000;0,0616;1,1800;1,2400;1;0,0000;0,0000;0;1;1;4;0;0
0,2223;260,1814;7,2000;0,0650;0,0498;0,0000;0,0000;0,0000;0,0000;0,0000;0,0622;1,1800;1,2400;1;0,0000;0,0000;0;1;1;4;0;0
0,2361;260,1814;7,2000;0,0691;0,0503;0,0000;0,0000;0,0000;0,0000;0,0000;0,0628;1,1800;1,2500;1;0,0000;0,0000;0;1;1;4;0;0
0,2500;260,1814;7,2000;0,0690;0,0508;0,0000;0,0000;0,0000;0,0000;0,0000;0,0635;1,1800;1,2500;1;0,0000;0,0000;0;1;1;4;0;0
0,2639;260,1814;7,2000;0,0608;0,0512;0,0000;0,0000;0,0000;0,0000;0,0000;0,0641;1,1900;1,2500;1;0,0000;0,0000;0;1;1;4;0;0
0,2778;260,1814;7,2000;0,0520;0,0517;0,0000;0,0000;0,0000;0,0000;0,0000;0,0647;1,1900;1,2400;1;0,0000;0,0000;0;1;1;4;0;0
0,2917;260,1814;7,2000;0,0466;0,0522;0,0000;0,0000;0,0000;0,0000;0,0000;0,0653;1,1900;1,2300;1;0,0000;0,0000;0;1;1;4;0;0
0,3056;260,1814;7,2000;0,0411;0,0527;0,0000;0,0000;0,0000;0,0000;0,0000;0,0659;1,1900;1,2300;1;0,0000;0,0000;0;1;1;4;0;0
0,3195;259,9458;7,2000;0,0336;0,0532;0,0000;0,0000;0,0000;0,0000;0,0000;0,0665;1,1900;1,2200;1;0,0000;0,0000;0;1;1;4;0;0
0,3334;259,9181;7,2000;0,0242;0,0537;0,0000;0,0000;0,0000;0,0000;0,0000;0,0671;1,1900;1,2200;1;0,0000;0,0000;0;1;1;4;0;0
0,3473;259,8903;7,2000;0,0169;0,0541;0,0000;0,0000;0,0000;0,0000;0,0000;0,0677;1,1900;1,2100;1;0,0000;0,0000;0;1;1;4;0;0
