# Study: LKA_Haptics | Participant: 13 | Condition: BaselineCC | Init: 20260129_120202 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed
0,0000;260,6377;6,1000;2,9225;-0,0624;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0780;-1,7800;1,1400;1;0,0000;0,0000;0;1;1;3;0;0
0,0139;260,6377;6,1000;2,9470;-0,0626;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0782;-1,7400;1,2100;1;0,0000;0,0000;0;1;1;3;0;0
0,0278;260,6377;6,1000;2,9835;-0,0627;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0784;-1,6900;1,2900;1;0,0000;0,0000;0;1;1;3;0;0
0,0416;260,6377;6,1000;3,0346;-0,0629;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0786;-1,6400;1,3900;1;0,0000;0,0000;0;1;1;3;0;0
0,0555;260,6377;6,1000;3,0985;-0,0630;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0788;-1,5900;1,5100;1;0,0000;0,0000;0;1;1;3;0;0
0,0694;260,6377;6,1000;3,1582;-0,0631;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0789;-1,5400;1,6200;1;0,0000;0,0000;0;1;1;3;0;0
0,0833;260,6377;6,1000;3,2292;-0,0632;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0790;-1,4900;1,7400;1;0,0000;0,0000;0;1;1;3;0;0
0,0972;260,6377;6,1000;3,2913;-0,0633;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0791;-1,4400;1,8500;1;0,0000;0,0000;0;1;1;3;0;0
0,1111;260,6377;6,1000;3,3434;-0,0633;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0791;-1,3900;1,9600;1;0,0000;0,0000;0;1;1;3;0;0
0,1250;260,3926;6,1000;3,3805;-0,0633;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0791;-1,3300;2,0500;1;0,0000;0,0000;0;1;1;3;0;0
0,1389;260,3690;6,1000;3,4102;-0,0633;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0791;-1,2800;2,1300;1;0,0000;0,0000;0;1;1;3;0;0
0,1528;260,3455;6,1000;3,4286;-0,0632;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0790;-1,2200;2,2000;1;0,0000;0,0000;0;1;1;3;0;0
0,1666;260,3220;6,1000;3,4311;-0,0632;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0790;-1,1700;2,2600;1;0,0000;0,0000;0;1;1;3;0;0
0,1805;260,2984;6,1000;3,4311;-0,0631;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0789;-1,1200;2,3200;1;0,0000;0,0000;0;1;1;3;0;0
0,1944;260,2749;6,1000;3,4275;-0,0630;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0788;-1,0600;2,3700;1;0,0000;0,0000;0;1;1;3;0;0
0,2083;260,2513;6,1000;3,4201;-0,0629;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0786;-1,0100;2,4100;1;0,0000;0,0000;0;1;1;3;0;0
0,2222;260,2278;6,1000;3,4089;-0,0628;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0785;-0,9500;2,4600;1;0,0000;0,0000;0;1;1;3;0;0
0,2361;260,2043;6,1000;3,3844;-0,0626;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0783;-0,9000;2,4900;1;0,0000;0,0000;0;1;1;3;0;0
0,2500;260,1814;6,1000;3,3425;-0,0625;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0781;-0,8500;2,5000;1;0,0000;0,0000;0;1;1;3;0;0
0,2639;260,1814;6,1000;3,2782;-0,0623;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0779;-0,7900;2,4800;1;0,0000;0,0000;0;1;1;3;0;0
0,2778;260,1814;6,1000;3,2078;-0,0621;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0777;-0,7400;2,4600;1;0,0000;0,0000;0;1;1;3;0;0
0,2916;260,1814;6,1000;3,1417;-0,0620;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0775;-0,6900;2,4500;1;0,0000;0,0000;0;1;1;3;0;0
0,3055;260,1814;6,1000;3,0914;-0,0618;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0772;-0,6400;2,4500;1;0,0000;0,0000;0;1;1;3;0;0
0,3194;260,1814;6,1000;3,0351;-0,0616;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0770;-0,6000;2,4400;1;0,0000;0,0000;0;1;1;3;0;0
0,3333;260,1814;6,1000;2,9399;-0,0614;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0767;-0,5500;2,3900;1;0,0000;0,0000;0;1;1;3;0;0
0,3472;260,1814;6,1000;2,9209;-0,0612;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0765;-0,5000;2,4200;1;0,0000;0,0000;0;1;1;3;0;0
0,3611;260,1814;6,1000;2,9171;-0,0609;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0762;-0,4600;2,4600;1;0,0000;0,0000;0;1;1;3;0;0
0,3750;260,1814;6,1000;2,9133;-0,0607;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0759;-0,4100;2,5000;1;0,0000;0,0000;0;1;1;3;0;0
0,3889;259,9454;6,1000;2,9173;-0,0604;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0755;-0,3600;2,5500;1;0,0000;0,0000;0;1;1;3;0;0
0,4028;259,9218;6,1000;2,9769;-0,0602;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0752;-0,3200;2,6600;1;0,0000;0,0000;0;1;1;3;0;0
