# Study: LKA_Haptics | Participant: 14 | Condition: HapticsFixedCW | Init: 20260129_132920 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed
0,0000;278,0564;5,0000;-18,6605;0,4940;0,0000;1,0000;-0,2337;0,1566;-0,3098;0,6175;-5,4900;-24,1500;1;0,0001;0,0000;1;1;0;4;0;0
0,0139;278,0753;5,0000;-17,8386;0,4906;0,0000;1,0000;-0,2344;0,1509;-0,3029;0,6132;-5,7300;-23,5700;1;0,0001;0,0000;1;1;0;4;0;0
0,0278;278,0943;5,0000;-17,1953;0,4872;0,0000;1,0000;-0,2332;0,1453;-0,2982;0,6089;-5,9600;-23,1500;1;0,0001;0,0000;1;1;0;4;0;0
0,0417;278,1133;5,0000;-16,7585;0,4838;0,0000;1,0000;-0,2303;0,1396;-0,2962;0,6047;-6,1800;-22,9400;1;0,0001;0,0000;1;1;0;4;0;0
0,0556;278,1322;5,0000;-16,6711;0,4803;0,0000;1,0000;-0,2248;0,1338;-0,2988;0,6004;-6,4000;-23,0700;1;0,0001;0,0000;1;1;0;4;0;0
0,0695;278,1511;5,0000;-15,8402;0,4769;0,0000;1,0000;-0,2257;0,1281;-0,2913;0,5961;-6,6100;-22,4500;1;0,0001;0,0000;1;1;0;4;0;0
0,0834;278,1700;5,0000;-15,6741;0,4734;0,0000;1,0000;-0,2209;0,1223;-0,2926;0,5918;-6,8100;-22,4900;1;0,0000;0,0000;1;1;0;4;0;0
0,0973;278,4088;4,7000;-15,2805;0,4700;0,0000;1,0000;-0,2209;0,1167;0,0000;0,5875;-7,0000;-22,2800;1;0,0000;0,0000;0;1;0;4;0;0
0,1112;278,4088;4,7000;-15,0083;0,4667;0,0000;1,0000;-0,2209;0,1112;0,0000;0,5834;-7,1900;-22,2000;1;0,0000;0,0000;0;1;0;4;0;0
0,1250;278,4088;4,7000;-14,8940;0,4634;0,0000;1,0000;-0,2209;0,1057;0,0000;0,5793;-7,3700;-22,2700;1;0,0000;0,0000;0;1;0;4;0;0
0,1389;278,4088;4,7000;-14,5265;0,4601;0,0000;1,0000;-0,2209;0,1002;0,0000;0,5751;-7,5500;-22,0800;1;0,0000;0,0000;0;1;0;4;0;0
0,1528;278,4088;4,7000;-13,9733;0,4568;0,0000;1,0000;-0,2209;0,0947;0,0000;0,5710;-7,7300;-21,7000;1;0,0000;0,0000;0;1;0;4;0;0
0,1667;278,4088;4,7000;-13,1763;0,4535;0,0000;1,0000;-0,2209;0,0892;0,0000;0,5669;-7,8900;-21,0600;1;0,0000;0,0000;0;1;0;4;0;0
0,1806;278,4088;4,7000;-12,0972;0,4503;0,0000;1,0000;-0,2209;0,0839;0,0000;0,5629;-8,0400;-20,1300;1;0,0000;0,0000;0;1;0;4;0;0
0,1945;278,4088;4,7000;-11,3851;0,4472;0,0000;1,0000;-0,2209;0,0786;0,0000;0,5590;-8,1800;-19,5600;1;0,0000;0,0000;0;1;0;4;0;0
