# Study: LKA_Haptics | Participant: 16 | Condition: HapticsAdaptiveCW | Init: 20260131_160126 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskIsTarget;SecTaskPressed
0,0000;278,0962;5,7000;-1,0446;0,0113;0,0000;0,0000;0,0000;0,0000;0,0000;0,0142;-0,1000;-1,1500;1;0,0001;0,0000;0;1;1;7;0;0
0,0139;278,1182;5,7000;-0,9852;0,0112;0,0000;0,0000;0,0000;0,0000;0,0000;0,0140;-0,1200;-1,1100;1;0,0001;0,0000;0;1;1;7;0;0
0,0278;278,1402;5,7000;-0,9174;0,0110;0,0000;0,0000;0,0000;0,0000;0,0000;0,0138;-0,1300;-1,0500;1;0,0001;0,0000;0;1;1;7;0;0
0,0417;278,1622;5,7000;-0,8378;0,0109;0,0000;0,0000;0,0000;0,0000;0,0000;0,0136;-0,1500;-0,9800;1;0,0000;0,0000;0;1;1;7;0;0
0,0555;278,4088;6,0000;-0,7846;0,0107;0,0000;0,0000;0,0000;0,0000;0,0000;0,0134;-0,1600;-0,9400;1;0,0000;0,0000;0;1;1;7;0;0
0,0694;278,4088;6,0000;-0,7561;0,0106;0,0000;0,0000;0,0000;0,0000;0,0000;0,0132;-0,1700;-0,9300;1;0,0000;0,0000;0;1;1;7;0;0
0,0833;278,4088;6,0000;-0,7325;0,0104;0,0000;0,0000;0,0000;0,0000;0,0000;0,0130;-0,1800;-0,9100;1;0,0000;0,0000;0;1;1;7;0;0
0,0972;278,4088;6,0000;-0,7213;0,0103;0,0000;0,0000;0,0000;0,0000;0,0000;0,0128;-0,1900;-0,9100;1;0,0000;0,0000;0;1;1;7;0;0
0,1111;278,4088;6,0000;-0,7162;0,0101;0,0000;0,0000;0,0000;0,0000;0,0000;0,0126;-0,2000;-0,9200;1;0,0000;0,0000;0;1;1;7;0;0
0,1250;278,4088;6,0000;-0,7169;0,0100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0125;-0,2100;-0,9300;1;0,0000;0,0000;0;1;1;7;0;0
0,1389;278,4088;6,0000;-0,7262;0,0098;0,0000;0,0000;0,0000;0,0000;0,0000;0,0122;-0,2200;-0,9500;1;0,0000;0,0000;0;1;1;7;0;0
0,1528;278,4088;6,0000;-0,7393;0,0096;0,0000;0,0000;0,0000;0,0000;0,0000;0,0120;-0,2300;-0,9700;1;0,0000;0,0000;0;1;1;7;0;0
0,1667;278,4088;6,0000;-0,7569;0,0094;0,0000;0,0000;0,0000;0,0000;0,0000;0,0118;-0,2500;-1,0000;1;0,0000;0,0000;0;1;1;7;0;0
