# Study: LKA_Haptics | Participant: 5 | Condition: BaselineCC | Init: 20260128_105450 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskPressed
0,0000;260,6377;6,1000;1,4220;0,0172;0,0000;0,0000;0,0000;0,0000;0,0000;0,0215;0,5200;1,9400;1;0,0000;0,0000;0;1;1;-1;0
0,0139;260,6377;6,1000;1,7311;0,0176;0,0000;0,0000;0,0000;0,0000;0,0000;0,0220;0,5400;2,2700;1;0,0000;0,0000;0;1;1;3;0
0,0278;260,6377;6,1000;1,7927;0,0180;0,0000;0,0000;0,0000;0,0000;0,0000;0,0225;0,5700;2,3600;1;0,0000;0,0000;0;1;1;3;0
0,0416;260,6377;6,1000;1,9867;0,0185;0,0000;0,0000;0,0000;0,0000;0,0000;0,0231;0,6000;2,5900;1;0,0000;0,0000;0;1;1;3;0
0,0555;260,6377;6,1000;2,2353;0,0190;0,0000;0,0000;0,0000;0,0000;0,0000;0,0237;0,6400;2,8700;1;0,0000;0,0000;0;1;1;3;0
0,0694;260,6377;6,1000;2,8224;0,0196;0,0000;0,0000;0,0000;0,0000;0,0000;0,0245;0,6800;3,5100;1;0,0000;0,0000;0;1;1;3;0
0,0833;260,6377;6,1000;3,1336;0,0202;0,0000;0,0000;0,0000;0,0000;0,0000;0,0253;0,7300;3,8700;1;0,0000;0,0000;0;1;1;3;0
0,0972;260,6377;6,1000;3,4765;0,0209;0,0000;0,0000;0,0000;0,0000;0,0000;0,0262;0,7900;4,2600;1;0,0000;0,0000;0;1;1;3;0
0,1111;260,3989;6,1000;3,7068;0,0217;0,0000;0,0000;0,0000;0,0000;0,0000;0,0271;0,8500;4,5500;1;0,0000;0,0000;0;1;1;3;0
0,1250;260,3754;6,1000;3,9746;0,0225;0,0000;0,0000;0,0000;0,0000;0,0000;0,0281;0,9100;4,8800;1;0,0000;0,0000;0;1;1;3;0
0,1389;260,3519;6,1000;4,1877;0,0233;0,0000;0,0000;0,0000;0,0000;0,0000;0,0292;0,9800;5,1600;1;0,0000;0,0000;0;1;1;3;0
0,1528;260,3284;6,1000;4,2303;0,0242;0,0000;0,0000;0,0000;0,0000;0,0000;0,0303;1,0400;5,2700;1;0,0000;0,0000;0;1;1;3;0
0,1666;260,3048;6,1000;4,3859;0,0251;0,0000;0,0000;0,0000;0,0000;0,0000;0,0314;1,1100;5,5000;1;0,0000;0,0000;0;1;1;3;0
