# Study: LKA_Haptics | Participant: 5 | Condition: BaselineCW | Init: 20260128_102849 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskPressed
0,0000;278,0935;5,7000;-1,7472;0,0049;0,0000;0,0000;0,0000;0,0000;0,0000;0,0061;0,1600;-1,5900;1;0,0001;0,0000;0;1;1;0;0
0,0139;278,1155;5,7000;-1,8297;0,0047;0,0000;0,0000;0,0000;0,0000;0,0000;0,0059;0,1300;-1,6900;1;0,0001;0,0000;0;1;1;0;0
0,0278;278,1375;5,5000;-1,8692;0,0046;0,0000;0,0000;0,0000;0,0000;0,0000;0,0057;0,1100;-1,7600;1;0,0001;0,0000;0;1;1;0;0
0,0417;278,1587;5,5000;-1,8742;0,0044;0,0000;0,0000;0,0000;0,0000;0,0000;0,0055;0,0800;-1,7900;1;0,0001;0,0000;0;1;1;0;0
0,0556;278,1799;5,5000;-1,8872;0,0042;0,0000;0,0000;0,0000;0,0000;0,0000;0,0052;0,0600;-1,8300;1;0,0000;0,0000;0;1;1;0;0
0,0695;278,4088;5,5000;-1,8905;0,0040;0,0000;0,0000;0,0000;0,0000;0,0000;0,0049;0,0300;-1,8600;1;0,0000;0,0000;0;1;1;0;0
0,0833;278,4088;5,5000;-1,8908;0,0037;0,0000;0,0000;0,0000;0,0000;0,0000;0,0047;0,0000;-1,8900;1;0,0000;0,0000;0;1;1;0;0
0,0972;278,4088;5,5000;-1,8747;0,0035;0,0000;0,0000;0,0000;0,0000;0,0000;0,0044;-0,0200;-1,9000;1;0,0000;0,0000;0;1;1;0;0
0,1111;278,4088;5,5000;-1,8210;0,0033;0,0000;0,0000;0,0000;0,0000;0,0000;0,0041;-0,0400;-1,8700;1;0,0000;0,0000;0;1;1;0;0
0,1250;278,4088;5,5000;-1,7269;0,0031;0,0000;0,0000;0,0000;0,0000;0,0000;0,0038;-0,0700;-1,8000;1;0,0000;0,0000;0;1;1;0;0
0,1389;278,4088;5,5000;-1,6045;0,0029;0,0000;0,0000;0,0000;0,0000;0,0000;0,0036;-0,0900;-1,7000;1;0,0000;0,0000;0;1;1;0;0
0,1528;278,4088;5,5000;-1,4957;0,0027;0,0000;0,0000;0,0000;0,0000;0,0000;0,0033;-0,1100;-1,6100;1;0,0000;0,0000;0;1;1;0;0
0,1667;278,4088;5,5000;-1,3525;0,0025;0,0000;0,0000;0,0000;0,0000;0,0000;0,0031;-0,1300;-1,4900;1;0,0000;0,0000;0;1;1;0;0
0,1806;278,4088;5,5000;-1,1512;0,0023;0,0000;0,0000;0,0000;0,0000;0,0000;0,0028;-0,1500;-1,3000;1;0,0000;0,0000;0;1;1;0;0
0,1945;278,4088;5,5000;-0,9399;0,0021;0,0000;0,0000;0,0000;0,0000;0,0000;0,0026;-0,1600;-1,1000;1;0,0000;0,0000;0;1;1;0;0
0,2083;278,4134;5,5000;-0,6852;0,0020;0,0000;0,0000;0,0000;0,0000;0,0000;0,0025;-0,1700;-0,8600;1;0,0000;0,0000;0;1;1;0;0
0,2222;278,4346;5,5000;-0,5569;0,0019;0,0000;0,0000;0,0000;0,0000;0,0000;0,0023;-0,1800;-0,7300;1;0,0001;0,0000;0;1;1;0;0
