# Study: LKA_Haptics | Participant: 5 | Condition: HapticsAdaptiveCW | Init: 20260128_104529 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskPressed
0,0000;278,0688;6,0000;-0,8262;-0,0997;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1246;-3,7100;-4,5400;1;0,0001;0,0000;0;1;1;7;0
0,0139;278,0919;6,0000;-0,7333;-0,1010;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1262;-3,7200;-4,4600;1;0,0001;0,0000;0;1;1;7;0
0,0278;278,1150;6,0000;-0,5994;-0,1023;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1278;-3,7300;-4,3300;1;0,0001;0,0000;0;1;1;7;0
0,0417;278,1380;6,0000;-0,4762;-0,1035;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1294;-3,7400;-4,2200;1;0,0001;0,0000;0;1;1;7;0
0,0556;278,1611;6,0000;-0,3299;-0,1048;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1310;-3,7400;-4,0700;1;0,0001;0,0000;0;1;1;7;0
0,0695;278,4088;6,0000;-0,1456;-0,1060;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1325;-3,7500;-3,8900;1;0,0000;0,0000;0;1;1;7;0
0,0834;278,4088;6,0000;0,0597;-0,1072;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1340;-3,7400;-3,6800;1;0,0000;0,0000;0;1;1;7;0
0,0973;278,4088;6,0000;0,2147;-0,1084;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1355;-3,7400;-3,5300;1;0,0000;0,0000;0;1;1;7;0
0,1111;278,4088;6,0000;0,3543;-0,1096;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1370;-3,7300;-3,3800;1;0,0000;0,0000;0;1;1;7;0
0,1250;278,4088;6,0000;0,4288;-0,1108;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1384;-3,7300;-3,3000;1;0,0000;0,0000;0;1;1;7;0
0,1389;278,4088;6,0000;0,4238;-0,1119;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1399;-3,7200;-3,3000;1;0,0000;0,0000;0;1;1;7;0
0,1528;278,4088;6,0000;0,4080;-0,1131;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1413;-3,7100;-3,3100;1;0,0000;0,0000;0;1;1;7;0
0,1667;278,4088;6,0000;0,3949;-0,1142;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1428;-3,7100;-3,3100;1;0,0000;0,0000;0;1;1;7;0
0,1806;278,4088;5,8000;0,3789;-0,1154;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1442;-3,7000;-3,3200;1;0,0000;0,0000;0;1;1;7;0
0,1945;278,4088;5,8000;0,3222;-0,1165;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1456;-3,6900;-3,3700;1;0,0000;0,0000;0;1;1;7;0
0,2084;278,4137;5,8000;0,1999;-0,1176;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1471;-3,6900;-3,4900;1;0,0000;0,0000;0;1;1;7;0
0,2223;278,4360;5,8000;0,0332;-0,1188;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1485;-3,6900;-3,6600;1;0,0001;0,0000;0;1;1;7;0
0,2361;278,4584;5,8000;-0,0877;-0,1200;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1500;-3,6900;-3,7800;1;0,0002;0,0000;0;1;1;7;0
0,2500;278,4807;5,8000;-0,2125;-0,1211;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1514;-3,6900;-3,9100;1;0,0002;0,0000;0;1;1;7;0
0,2639;278,5030;5,8000;-0,3174;-0,1224;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1529;-3,7000;-4,0200;1;0,0003;0,0000;0;1;1;7;0
0,2778;278,5253;5,8000;-0,4047;-0,1236;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1544;-3,7000;-4,1100;1;0,0004;0,0000;0;1;1;7;0
0,2917;278,5477;5,8000;-0,4377;-0,1248;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1560;-3,7100;-4,1500;1;0,0005;0,0000;0;1;1;7;0
0,3056;278,5700;5,8000;-0,4434;-0,1260;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1575;-3,7200;-4,1600;1;0,0005;0,0000;0;1;1;7;0
0,3195;278,5923;5,8000;-0,4315;-0,1272;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1590;-3,7200;-4,1500;1;0,0006;0,0000;0;1;1;7;0
0,3334;278,6146;5,8000;-0,3902;-0,1284;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1605;-3,7300;-4,1200;1;0,0007;0,0000;0;1;1;7;0
0,3473;278,6370;5,8000;-0,3820;-0,1296;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1620;-3,7300;-4,1100;1;0,0007;0,0000;0;1;1;7;0
0,3611;278,8654;5,8000;-0,1791;-0,1308;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1635;-3,7300;-3,9100;1;0,0014;0,0000;0;1;1;7;0
0,3750;278,8654;5,8000;-0,0371;-0,1320;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1650;-3,7400;-3,7700;1;0,0014;0,0000;0;1;1;7;0
0,3889;278,8654;5,8000;0,0764;-0,1332;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1665;-3,7300;-3,6600;1;0,0014;0,0000;0;1;1;7;0
0,4028;278,8654;5,8000;0,2413;-0,1343;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1679;-3,7300;-3,4900;1;0,0014;0,0000;0;1;1;7;0
0,4167;278,8654;5,8000;0,3843;-0,1354;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1693;-3,7200;-3,3400;1;0,0014;0,0000;0;1;1;7;0
0,4306;278,8654;5,8000;0,4624;-0,1365;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1707;-3,7200;-3,2500;1;0,0014;0,0000;0;1;1;7;0
0,4445;278,8654;5,8000;0,4642;-0,1377;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1721;-3,7100;-3,2400;1;0,0014;0,0000;0;1;1;7;0
0,4584;278,8654;5,8000;0,4646;-0,1388;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1734;-3,7000;-3,2400;1;0,0014;0,0000;0;1;1;7;0
0,4723;278,8654;5,8000;0,4274;-0,1399;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1748;-3,7000;-3,2700;1;0,0014;0,0000;0;1;1;7;0
0,4861;278,8654;5,8000;0,3940;-0,1410;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1762;-3,6900;-3,2900;1;0,0014;0,0000;0;1;1;7;0
0,5000;278,8826;5,8000;0,3039;-0,1421;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1776;-3,6800;-3,3800;1;0,0014;0,0000;0;1;1;7;0
0,5139;278,9049;5,8000;0,1626;-0,1432;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1791;-3,6800;-3,5200;1;0,0013;0,0000;0;1;1;7;0
0,5278;278,9273;5,8000;0,0038;-0,1444;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1805;-3,6800;-3,6800;1;0,0012;0,0000;0;1;1;7;0
0,5417;278,9496;5,8000;-0,1405;-0,1456;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1820;-3,6800;-3,8200;1;0,0012;0,0000;0;1;1;7;0
0,5556;278,9719;5,8000;-0,1694;-0,1467;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1834;-3,6800;-3,8500;1;0,0011;0,0000;0;1;1;7;0
0,5695;278,9942;5,8000;-0,3816;-0,1479;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1849;-3,6900;-4,0700;1;0,0011;0,0000;0;1;1;7;0
0,5834;279,0166;5,8000;-0,4973;-0,1492;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1865;-3,7000;-4,1900;1;0,0010;0,0000;0;1;1;7;0
