# Study: LKA_Haptics | Participant: 5 | Condition: HapticsFixedCC | Init: 20260128_110109 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskPressed
0,0000;260,6377;6,1000;2,1607;-0,0202;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0253;0,0000;2,1500;1;0,0000;0,0000;0;1;1;4;0
0,0139;260,6377;6,1000;2,1204;-0,0199;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0249;0,0200;2,1500;1;0,0000;0,0000;0;1;1;4;0
0,0278;260,6377;6,1000;2,0107;-0,0196;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0246;0,0600;2,0700;1;0,0000;0,0000;0;1;1;4;0
0,0417;260,6377;6,1000;1,9548;-0,0194;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0242;0,0900;2,0400;1;0,0000;0,0000;0;1;1;4;0
0,0556;260,6377;6,1000;1,8635;-0,0191;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0239;0,1200;1,9800;1;0,0000;0,0000;0;1;1;4;0
0,0695;260,6377;6,1000;1,8451;-0,0188;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0235;0,1500;1,9900;1;0,0000;0,0000;0;1;1;4;0
0,0834;260,6377;6,1000;1,7290;-0,0185;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0232;0,1700;1,9000;1;0,0000;0,0000;0;1;1;4;0
0,0973;260,6377;6,1000;1,6705;-0,0182;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0228;0,2000;1,8700;1;0,0000;0,0000;0;1;1;4;0
0,1111;260,3967;6,1000;1,6503;-0,0179;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0224;0,2300;1,8800;1;0,0000;0,0000;0;1;1;4;0
0,1250;260,3732;6,1000;1,6339;-0,0177;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0221;0,2500;1,8900;1;0,0000;0,0000;0;1;1;4;0
0,1389;260,3497;6,1000;1,6256;-0,0174;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0217;0,2800;1,9100;1;0,0000;0,0000;0;1;1;4;0
0,1528;260,3261;6,1000;1,6227;-0,0170;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0213;0,3100;1,9300;1;0,0000;0,0000;0;1;1;4;0
0,1667;260,3026;6,1000;1,6244;-0,0167;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0209;0,3300;1,9600;1;0,0000;0,0000;0;1;1;4;0
0,1806;260,2791;6,1000;1,6292;-0,0164;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0205;0,3600;1,9900;1;0,0000;0,0000;0;1;1;4;0
0,1945;260,2555;6,1000;1,6376;-0,0160;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0200;0,3800;2,0200;1;0,0000;0,0000;0;1;1;4;0
0,2084;260,2320;6,1000;1,6492;-0,0157;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0196;0,4100;2,0600;1;0,0000;0,0000;0;1;1;4;0
0,2223;260,2084;6,1000;1,6687;-0,0153;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0191;0,4400;2,1100;1;0,0000;0,0000;0;1;1;4;0
0,2361;260,1849;6,1000;1,6953;-0,0149;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0187;0,4600;2,1600;1;0,0000;0,0000;0;1;1;4;0
0,2500;260,1814;6,1000;1,7345;-0,0145;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0182;0,4900;2,2300;1;0,0000;0,0000;0;1;1;4;0
0,2639;260,1814;6,1000;1,7674;-0,0141;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0177;0,5200;2,2900;1;0,0000;0,0000;0;1;1;4;0
0,2778;260,1814;6,1000;1,7970;-0,0137;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0171;0,5500;2,3500;1;0,0000;0,0000;0;1;1;4;0
