# Study: LKA_Haptics | Participant: 5 | Condition: HapticsFixedCW | Init: 20260128_103803 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskPressed
0,0000;278,0920;4,9000;3,5379;-0,1152;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1440;0,0900;3,6300;1;0,0001;0,0000;0;1;1;4;0
0,0139;278,1109;4,9000;3,5321;-0,1148;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1435;0,1400;3,6700;1;0,0001;0,0000;0;1;1;4;0
0,0278;278,1298;4,9000;3,5255;-0,1144;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1430;0,1800;3,7100;1;0,0001;0,0000;0;1;1;4;0
0,0417;278,1487;4,9000;3,5241;-0,1140;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1425;0,2300;3,7500;1;0,0001;0,0000;0;1;1;4;0
0,0556;278,1676;4,9000;3,5200;-0,1136;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1420;0,2700;3,7900;1;0,0000;0,0000;0;1;1;4;0
0,0694;278,4088;4,9000;3,5274;-0,1132;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1415;0,3200;3,8400;1;0,0000;0,0000;0;1;1;4;0
0,0833;278,4088;4,9000;3,5123;-0,1127;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1409;0,3600;3,8700;1;0,0000;0,0000;0;1;1;4;0
0,0972;278,4088;4,9000;3,4983;-0,1123;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1404;0,4100;3,9100;1;0,0000;0,0000;0;1;1;4;0
0,1111;278,4088;4,9000;3,4955;-0,1118;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1398;0,4500;3,9500;1;0,0000;0,0000;0;1;1;4;0
0,1250;278,4088;4,9000;3,4773;-0,1113;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1392;0,5000;3,9700;1;0,0000;0,0000;0;1;1;4;0
0,1389;278,4088;4,9000;3,5986;-0,1109;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1386;0,5400;4,1400;1;0,0000;0,0000;0;1;1;4;0
