participant_id;trial_condition;trial_order;Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskPressed;SecTaskIsTarget
5;HapticsAdaptive;6;0,0000;260,6377;5,2000;0,2247;0,0016;0,0000;0,0000;0,0000;0,0000;0,0000;0,0020;1,4000;1,6300;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,0139;260,6377;5,2000;0,3538;0,0021;0,0000;0,0000;0,0000;0,0000;0,0000;0,0026;1,4100;1,7600;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,0278;260,6377;5,2000;0,4544;0,0025;0,0000;0,0000;0,0000;0,0000;0,0000;0,0032;1,4100;1,8700;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,0417;260,6377;5,2000;0,4745;0,0030;0,0000;0,0000;0,0000;0,0000;0,0000;0,0037;1,4200;1,9000;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,0556;260,6377;5,2000;0,5451;0,0035;0,0000;0,0000;0,0000;0,0000;0,0000;0,0043;1,4300;1,9700;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,0695;260,6377;5,2000;0,6231;0,0040;0,0000;0,0000;0,0000;0,0000;0,0000;0,0049;1,4400;2,0600;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,0834;260,6377;5,2000;0,6503;0,0044;0,0000;0,0000;0,0000;0,0000;0,0000;0,0056;1,4500;2,1000;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,0973;260,6377;5,2000;0,6464;0,0049;0,0000;0,0000;0,0000;0,0000;0,0000;0,0062;1,4600;2,1000;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,1111;260,6377;5,2000;0,5998;0,0054;0,0000;0,0000;0,0000;0,0000;0,0000;0,0068;1,4700;2,0700;1;0,0000;0,0000;0;0;1;4;0;
5;HapticsAdaptive;6;0,1250;260,6377;5,2000;0,4969;0,0059;0,0000;0,0000;0,0000;0,0000;0,0000;0,0074;1,4700;1,9700;1;0,0000;0,0000;0;0;1;4;0;
