participant_id,trial_order,condition,laptime_total_seconds,speed_mean_kmh,speed_sd_kmh,cte_absmean_meters,cte_sd_meters,headingerror_absmean_deg,headingerror_sd_deg,steeringangle_sd_deg,lka_switch_on_pct_overall,lka_active_while_switched_on_pct_overall,lka_effort_absmean_overall,switch_pct_straight,lka_active_while_switched_on_pct_straight,lka_effort_absmean_straight,vibration_intensity_both_straight,vibration_engaged_pct_straight,cte_absmean_straight,switch_pct_short_turn,lka_active_while_switched_on_pct_short_turn,lka_effort_absmean_short_turn,vibration_intensity_both_short_turn,vibration_engaged_pct_short_turn,cte_absmean_short_turn,switch_pct_long_turn,lka_active_while_switched_on_pct_long_turn,lka_effort_absmean_long_turn,vibration_intensity_both_long_turn,vibration_engaged_pct_long_turn,cte_absmean_long_turn,nback_hitrate_pct,nback_farate_pct,nback_accuracy_corrected_pct,nback_reactiontime_mean_seconds
5,1,Baseline,128.8195,9.6199,1.4851,0.4136,0.1972,1.6452,2.5783,3.5553,100.0,51.8327,0.0891,100.0,71.3147,0.0537,0.0,0.0,0.4635,100.0,72.1706,0.1825,0.0,0.0,0.5447,100.0,0.0,0.0,0.0,0.0,0.2241,77.7778,2.9412,74.8366,0.7976
5,4,Baseline,140.4861,8.8583,3.2161,0.4252,0.667,3.1552,6.0131,3.9614,100.0,29.8834,0.1593,100.0,27.032,0.1947,0.0,0.0,0.4391,100.0,42.9116,0.1829,0.0,0.0,0.4431,100.0,28.5113,0.0616,0.0,0.0,0.383,33.3333,3.4188,29.9145,0.8426
6,2,Baseline,117.6389,10.5341,1.012,0.2981,0.2571,1.3242,1.8732,3.0488,33.6914,28.4513,0.0408,67.2185,28.1492,0.0414,0.0,0.0,0.2761,0.0,0.0,0.0,0.0,0.0,0.361,0.4402,100.0,0.0,0.0,0.0,0.2973,50.0,2.0202,47.9798,1.162
6,3,Baseline,130.6528,9.4382,1.1566,0.3218,0.1883,1.6665,2.4112,3.1416,100.0,19.7066,0.0244,100.0,2.9734,0.1368,0.0,0.0,0.2702,100.0,15.858,0.011,0.0,0.0,0.2939,100.0,50.1565,0.0157,0.0,0.0,0.425,71.4286,0.9259,70.5026,1.2472
7,1,Baseline,137.6111,8.9955,2.263,0.1304,0.1349,1.1303,1.5264,2.9966,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0731,100.0,0.0,0.0,0.0,0.0,0.1638,100.0,0.0,0.0,0.0,0.0,0.1991,33.3333,1.5267,31.8066,0.7569
7,5,Baseline,102.8333,11.9923,1.9539,0.2084,0.2267,1.5298,2.3588,3.1664,100.0,5.9149,0.1116,100.0,0.0,0.0,0.0,0.0,0.1154,100.0,24.9616,0.1391,0.0,0.0,0.3534,100.0,5.2122,0.0327,0.0,0.0,0.2902,25.0,5.0505,19.9495,0.7222
8,3,Baseline,100.0556,12.384,1.6889,0.1905,0.243,1.3924,1.9582,3.085,100.0,6.3706,0.1544,100.0,3.4408,0.0608,0.0,0.0,0.1684,100.0,24.2159,0.1902,0.0,0.0,0.395,100.0,0.0,0.0,0.0,0.0,0.0976,50.0,2.0833,47.9167,0.7292
8,6,Baseline,93.1806,13.2856,0.9505,0.4322,0.1351,1.5429,2.2992,3.2927,100.0,56.4978,0.0456,100.0,67.6436,0.0289,0.0,0.0,0.4459,100.0,51.6279,0.1509,0.0,0.0,0.4437,100.0,41.1361,0.0075,0.0,0.0,0.4023,100.0,4.4944,95.5056,0.7882
9,4,Baseline,99.6111,12.4691,5.7356,0.2216,0.3104,4.0962,9.9775,5.4986,100.0,5.5207,0.2955,100.0,1.531,0.9595,0.0,0.0,0.2226,100.0,6.262,0.0365,0.0,0.0,0.2414,100.0,13.2673,0.2023,0.0,0.0,0.2093,25.0,2.1053,22.8947,1.1667
9,5,Baseline,95.0277,13.0308,4.5926,0.1359,0.1494,1.6684,2.0829,3.0037,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1203,100.0,0.0,0.0,0.0,0.0,0.1749,100.0,0.0,0.0,0.0,0.0,0.141,66.6667,1.0753,65.5914,1.4166
