participant_id,trial_order,condition,laptime_total_seconds,speed_mean_kmh,speed_sd_kmh,cte_absmean_meters,cte_sd_meters,headingerror_absmean_deg,headingerror_sd_deg,steeringangle_sd_deg,lka_switch_on_pct_overall,lka_active_while_switched_on_pct_overall,lka_effort_absmean_overall,switch_pct_straight,lka_active_while_switched_on_pct_straight,lka_effort_absmean_straight,vibration_intensity_both_straight,vibration_engaged_pct_straight,cte_absmean_straight,switch_pct_short_turn,lka_active_while_switched_on_pct_short_turn,lka_effort_absmean_short_turn,vibration_intensity_both_short_turn,vibration_engaged_pct_short_turn,cte_absmean_short_turn,switch_pct_long_turn,lka_active_while_switched_on_pct_long_turn,lka_effort_absmean_long_turn,vibration_intensity_both_long_turn,vibration_engaged_pct_long_turn,cte_absmean_long_turn,nback_hitrate_pct,nback_farate_pct,nback_accuracy_corrected_pct,nback_reactiontime_mean_seconds
5,3,HapticsAdaptive,127.9862,9.6942,1.3208,0.271,0.2844,2.0017,2.7372,3.3028,100.0,30.7617,0.0275,100.0,48.4566,0.022,0.5596,68.9041,0.3497,100.0,13.0257,0.0317,0.1775,24.4743,0.1668,100.0,10.198,0.0714,0.2213,32.7232,0.1957,50.0,4.4643,45.5357,0.9583
5,6,HapticsAdaptive,113.5278,10.9255,1.7009,0.3082,0.312,1.9094,2.4864,3.3693,0.0,0.0,0.0,0.0,0.0,0.0,0.6042,71.3298,0.4225,0.0,0.0,0.0,0.2584,31.3008,0.2277,0.0,0.0,0.0,0.0664,16.1406,0.1639,60.0,3.1579,56.8421,0.8009
6,4,HapticsAdaptive,117.7223,10.5389,0.8628,0.3245,0.2183,1.6554,2.4494,3.0987,100.0,34.0922,0.0123,100.0,54.4837,0.0124,0.6302,71.646,0.3762,100.0,2.6722,0.0033,0.12,24.7625,0.1822,100.0,20.5393,0.0126,0.5405,78.9056,0.3319,66.6667,0.0,66.6667,1.2153
6,5,HapticsAdaptive,111.3889,11.2283,0.7899,0.3812,0.2951,1.3521,2.0004,3.2003,100.0,51.8265,0.1243,100.0,39.2181,0.0309,0.4543,55.2789,0.312,100.0,2.9993,0.0,0.0479,7.6346,0.1267,100.0,100.0,0.1844,0.9984,100.0,0.6376,66.6667,0.0,66.6667,1.1007
7,2,HapticsAdaptive,132.5278,9.336,2.0995,0.1099,0.1368,1.27,1.7376,3.1243,100.0,0.0,0.0,100.0,0.0,0.0,0.0041,0.996,0.0764,100.0,0.0,0.0,0.2082,36.5698,0.1947,100.0,0.0,0.0,0.0406,9.4402,0.1115,16.6667,0.0,16.6667,0.7222
7,6,HapticsAdaptive,98.5417,12.5565,2.9114,0.1321,0.1737,1.5075,2.0897,3.0281,100.0,0.9724,0.0173,100.0,0.0,0.0,0.0043,1.8533,0.1097,100.0,5.498,0.0173,0.3393,50.1992,0.2292,100.0,0.0,0.0,0.0807,14.6318,0.1141,60.0,0.0,60.0,0.7222
8,1,HapticsAdaptive,108.2917,11.686,3.659,0.3859,0.7249,5.4887,13.7823,7.2221,88.7022,13.662,0.4185,98.3021,7.2644,0.1012,0.2581,38.7516,0.2333,57.7662,59.2626,0.5562,0.6942,79.013,0.9135,100.0,0.0,0.0,0.0592,14.0792,0.1693,60.0,2.9126,57.0874,0.7408
8,4,HapticsAdaptive,104.3473,11.9452,1.2348,0.3873,0.3909,1.8175,2.5613,3.2816,100.0,44.9028,0.1558,100.0,21.3486,0.1367,0.3603,44.2806,0.2777,100.0,7.6979,0.0389,0.3786,48.607,0.2481,100.0,100.0,0.1668,0.9996,100.0,0.625,40.0,5.0,35.0,0.75
9,2,HapticsAdaptive,126.0833,9.8281,1.9311,0.1199,0.1382,1.3816,1.8913,3.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0182,3.7983,0.1104,100.0,0.0,0.0,0.0424,11.9691,0.1585,100.0,0.0,0.0,0.0,0.0718,0.1146,28.5714,2.5,26.0714,0.7431
9,3,HapticsAdaptive,101.4584,12.2135,2.6926,0.1484,0.1455,1.1689,1.5847,3.1609,100.0,0.0,0.0,100.0,0.0,0.0,0.1295,22.7284,0.1486,100.0,0.0,0.0,0.0353,11.1658,0.1401,100.0,0.0,0.0,0.0521,12.0744,0.1526,0.0,4.2105,-4.2105,
