participant_id,trial_order,condition,laptime_total_seconds,speed_mean_kmh,speed_sd_kmh,cte_absmean_meters,cte_sd_meters,headingerror_absmean_deg,headingerror_sd_deg,steeringangle_sd_deg,lka_switch_on_pct_overall,lka_active_while_switched_on_pct_overall,lka_effort_absmean_overall,switch_pct_straight,lka_active_while_switched_on_pct_straight,lka_effort_absmean_straight,vibration_intensity_both_straight,vibration_engaged_pct_straight,cte_absmean_straight,switch_pct_short_turn,lka_active_while_switched_on_pct_short_turn,lka_effort_absmean_short_turn,vibration_intensity_both_short_turn,vibration_engaged_pct_short_turn,cte_absmean_short_turn,switch_pct_long_turn,lka_active_while_switched_on_pct_long_turn,lka_effort_absmean_long_turn,vibration_intensity_both_long_turn,vibration_engaged_pct_long_turn,cte_absmean_long_turn,nback_hitrate_pct,nback_farate_pct,nback_accuracy_corrected_pct,nback_reactiontime_mean_seconds
5,2,HapticsFixed,131.7083,9.4429,1.4677,0.3535,0.2941,1.7048,2.3558,3.2722,100.0,41.86,0.0936,100.0,42.8684,0.0441,0.6458,64.5792,0.3357,100.0,15.0143,0.0376,0.3994,39.9427,0.2298,100.0,57.4524,0.173,0.8252,82.5177,0.4677,28.5714,3.5714,25.0,0.9652
5,5,HapticsFixed,112.0417,11.1155,1.6679,0.3373,0.2587,1.732,2.7,3.3501,100.0,40.1339,0.0586,100.0,59.7679,0.0184,0.5363,53.6267,0.4058,100.0,27.231,0.1623,0.2539,25.3937,0.3204,100.0,14.5764,0.2192,0.0,0.0,0.2301,42.8571,3.2967,39.5604,0.7639
6,1,HapticsFixed,122.0139,10.1143,1.1781,0.2389,0.2232,1.4138,1.8729,2.9975,100.0,1.3772,0.0101,100.0,0.0,0.0,0.268,26.8012,0.1874,100.0,7.3601,0.0101,0.5359,53.5888,0.2782,100.0,0.0,0.0,0.7651,76.5108,0.3027,50.0,0.9524,49.0476,1.2361
6,6,HapticsFixed,109.7916,11.3886,1.5194,0.4115,0.2585,1.5053,2.1891,3.3134,100.0,55.616,0.1308,100.0,46.2516,0.0625,0.6666,66.6582,0.3495,100.0,14.6501,0.0872,0.3591,35.9058,0.2009,100.0,96.3554,0.1878,1.0,100.0,0.6431,20.0,3.8095,16.1905,1.1111
7,3,HapticsFixed,152.6111,8.1715,2.0161,0.2169,0.2847,1.7506,2.486,3.4362,100.0,13.6591,0.2141,100.0,3.2029,0.1962,0.2007,20.0728,0.1815,100.0,55.7425,0.2165,0.8098,80.9844,0.4863,100.0,0.0,0.0,0.0741,7.411,0.0738,40.0,0.0,40.0,0.5694
7,4,HapticsFixed,131.0833,9.4396,1.5255,0.1644,0.1647,1.3558,1.9481,3.174,100.0,0.0,0.0,100.0,0.0,0.0,0.1103,11.0328,0.1225,100.0,0.0,0.0,0.2799,27.9935,0.1617,100.0,0.0,0.0,0.2806,28.0552,0.2286,57.1429,0.0,57.1429,0.9132
8,2,HapticsFixed,108.9722,11.4396,1.7076,0.4664,0.3077,1.7751,3.6072,4.0188,100.0,59.7553,0.1397,100.0,38.0456,0.0422,0.754,75.4049,0.3693,100.0,41.6451,0.1737,0.7584,75.842,0.4024,100.0,100.0,0.1823,1.0,100.0,0.6366,80.0,3.8462,76.1538,0.8264
8,5,HapticsFixed,105.3611,11.7955,2.0522,0.3414,0.2474,2.0685,3.023,3.5983,10.9002,21.6445,0.1969,20.7685,21.6445,0.1969,0.7777,77.775,0.3882,0.0,0.0,0.0,0.5747,57.4697,0.4293,0.0,0.0,0.0,0.2614,26.1444,0.192,25.0,4.902,20.098,0.625
9,1,HapticsFixed,153.8889,8.0527,1.3986,0.0754,0.1018,1.047,1.5514,2.9564,100.0,0.0,0.0,100.0,0.0,0.0,0.0036,0.3619,0.0563,100.0,0.0,0.0,0.1499,14.9901,0.1608,100.0,0.0,0.0,0.0,0.0,0.0563,37.5,3.4483,34.0517,1.3519
9,6,HapticsFixed,117.2639,10.571,5.932,0.1073,0.1347,1.2743,1.8379,3.5544,100.0,0.0,0.0,100.0,0.0,0.0,0.0245,2.4541,0.0894,100.0,0.0,0.0,0.357,35.7014,0.1932,100.0,0.0,0.0,0.0441,4.4132,0.1075,0.0,0.885,-0.885,
10,2,HapticsFixed,103.7083,11.9083,1.2899,0.1579,0.1962,1.3052,1.9804,2.949,100.0,4.6867,0.0218,100.0,0.0,0.0,0.0779,7.7865,0.0941,100.0,12.166,0.0227,0.5914,59.1421,0.2866,100.0,8.0236,0.021,0.1958,19.583,0.186,50.0,2.0202,47.9798,1.3403
10,4,HapticsFixed,100.1528,12.3446,1.3149,0.1537,0.1614,1.3623,2.0681,2.9762,100.0,1.2895,0.0492,100.0,0.0,0.0,0.0378,3.7761,0.0996,100.0,6.8182,0.0492,0.379,37.9032,0.2474,100.0,0.0,0.0,0.1542,15.421,0.1887,66.6667,1.0309,65.6357,1.3403
11,2,HapticsFixed,112.3056,10.9757,1.6928,0.2744,0.184,1.234,1.8659,2.9635,100.0,1.15,0.0524,100.0,0.0,0.0,0.2793,27.9252,0.2103,100.0,6.2923,0.0524,0.8133,81.3261,0.3497,100.0,0.0,0.0,0.9803,98.031,0.3411,0.0,1.8519,-1.8519,
11,5,HapticsFixed,114.0139,10.8654,2.685,0.1937,0.2012,1.3891,2.0845,2.91,100.0,0.7552,0.0,100.0,0.0,0.0,0.234,23.4,0.2003,100.0,4.3878,0.0,0.7672,76.7162,0.3024,100.0,0.0,0.0,0.0514,5.1371,0.1139,16.6667,2.7778,13.8889,1.3611
12,1,HapticsFixed,126.7361,9.77,2.4499,0.1766,0.2481,2.0679,4.1917,3.5507,100.0,4.5474,0.2045,100.0,2.5403,0.6631,0.0722,7.2177,0.1473,100.0,5.9563,0.0072,0.4536,45.3552,0.2401,100.0,7.7055,0.0029,0.345,34.5034,0.1888,0.0,0.813,-0.813,
