# Study: LKA_Haptics | Participant: 9 | Condition: HapticsFixedCW | Init: 20260128_165542 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
participant_id;condition;trial_order;Timestamp;Trackposition;Speed_KmH;SteerAngle;Haptic_L_Norm;Haptic_R_Norm;LkaNormEffort;CTE_Meters;B_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;LKA_Engaged;LKA_Switch;SecTaskNum;SecTaskIsTarget;SecTaskPressed
9;HapticsFixedCW;6;0,0;278,0845;4,8;-0,4405;0,0;0,0;0,0;-0,0194;-0,96;1;0,0001;0;1;4;0;0
9;HapticsFixedCW;6;0,0139;278,1031;4,8;-0,3702;0,0;0,0;0,0;-0,0198;-0,96;1;0,0001;0;1;4;0;0
9;HapticsFixedCW;6;0,0278;278,1216;4,8;-0,3299;0,0;0,0;0,0;-0,0202;-0,97;1;0,0001;0;1;4;0;0
9;HapticsFixedCW;6;0,0417;278,1401;4,8;-0,3051;0,0;0,0;0,0;-0,0205;-0,97;1;0,0001;0;1;4;0;0
9;HapticsFixedCW;6;0,0556;278,1586;4,8;-0,2999;0,0;0,0;0,0;-0,0209;-0,97;1;0,0001;0;1;4;0;0
9;HapticsFixedCW;6;0,0695;278,1771;4,8;-0,2759;0,0;0,0;0,0;-0,0212;-0,98;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,0833;278,4088;4,8;-0,2457;0,0;0,0;0,0;-0,0216;-0,98;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,0972;278,4088;4,8;-0,1973;0,0;0,0;0,0;-0,0219;-0,98;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,1111;278,4088;4,8;-0,1802;0,0;0,0;0,0;-0,0223;-0,98;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,125;278,4088;4,8;-0,1759;0,0;0,0;0,0;-0,0227;-0,98;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,1389;278,4088;4,8;-0,1751;0,0;0,0;0,0;-0,023;-0,99;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,1528;278,4088;4,8;-0,1766;0,0;0,0;0,0;-0,0233;-0,99;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,1667;278,4088;4,8;-0,1816;0,0;0,0;0,0;-0,0237;-0,99;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,1806;278,4088;4,8;-0,189;0,0;0,0;0,0;-0,024;-0,99;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,1945;278,4088;4,8;-0,2156;0,0;0,0;0,0;-0,0244;-0,99;1;0,0;0;1;4;0;0
9;HapticsFixedCW;6;0,2083;278,4088;4,8;-0,2399;0,0;0,0;0,0;-0,0248;-1,0;1;0,0;0;1;4;0;0
