# Study: LKA_Haptics | Participant: 5 | Condition: HapticsAdaptiveCW | Init: 20260128_104529 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
201,2083;278,0688;6,00;-0,8262;-0,0997;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1246;-3,71;-4,54;1;0,0001;0,00;0;1;1;7;0;410;2048;2048
201,2222;278,0919;6,00;-0,7333;-0,1010;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1262;-3,72;-4,46;1;0,0001;0,00;0;1;1;7;0;410;2048;2048
201,2361;278,1150;6,00;-0,5994;-0,1023;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1278;-3,73;-4,33;1;0,0001;0,00;0;1;1;7;0;410;2048;2048
201,2500;278,1380;6,00;-0,4762;-0,1035;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1294;-3,74;-4,22;1;0,0001;0,00;0;1;1;7;0;410;2048;2048
201,2639;278,1611;6,00;-0,3299;-0,1048;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1310;-3,74;-4,07;1;0,0001;0,00;0;1;1;7;0;410;2048;2048
201,2778;278,4088;6,00;-0,1456;-0,1060;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1325;-3,75;-3,89;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,2917;278,4088;6,00;0,0597;-0,1072;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1340;-3,74;-3,68;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,3056;278,4088;6,00;0,2147;-0,1084;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1355;-3,74;-3,53;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,3194;278,4088;6,00;0,3543;-0,1096;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1370;-3,73;-3,38;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,3333;278,4088;6,00;0,4288;-0,1108;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1384;-3,73;-3,30;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,3472;278,4088;6,00;0,4238;-0,1119;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1399;-3,72;-3,30;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,3611;278,4088;6,00;0,4080;-0,1131;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1413;-3,71;-3,31;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,3750;278,4088;6,00;0,3949;-0,1142;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1428;-3,71;-3,31;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,3889;278,4088;5,80;0,3789;-0,1154;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1442;-3,70;-3,32;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,4028;278,4088;5,80;0,3222;-0,1165;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1456;-3,69;-3,37;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,4167;278,4137;5,80;0,1999;-0,1176;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1471;-3,69;-3,49;1;0,0000;0,00;0;1;1;7;0;410;2048;2048
201,4306;278,4360;5,80;0,0332;-0,1188;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1485;-3,69;-3,66;1;0,0001;0,00;0;1;1;7;0;410;2048;2048
201,4444;278,4584;5,80;-0,0877;-0,1200;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1500;-3,69;-3,78;1;0,0002;0,00;0;1;1;7;0;410;2048;2048
201,4583;278,4807;5,80;-0,2125;-0,1211;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1514;-3,69;-3,91;1;0,0002;0,00;0;1;1;7;0;410;2048;2048
201,4722;278,5030;5,80;-0,3174;-0,1224;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1529;-3,70;-4,02;1;0,0003;0,00;0;1;1;7;0;410;2048;2048
201,4861;278,5253;5,80;-0,4047;-0,1236;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1544;-3,70;-4,11;1;0,0004;0,00;0;1;1;7;0;410;2048;2048
201,5000;278,5477;5,80;-0,4377;-0,1248;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1560;-3,71;-4,15;1;0,0005;0,00;0;1;1;7;0;410;2048;2048
201,5139;278,5700;5,80;-0,4434;-0,1260;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1575;-3,72;-4,16;1;0,0005;0,00;0;1;1;7;0;410;2048;2048
201,5278;278,5923;5,80;-0,4315;-0,1272;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1590;-3,72;-4,15;1;0,0006;0,00;0;1;1;7;0;410;2048;2048
201,5417;278,6146;5,80;-0,3902;-0,1284;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1605;-3,73;-4,12;1;0,0007;0,00;0;1;1;7;0;410;2048;2048
201,5556;278,6370;5,80;-0,3820;-0,1296;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1620;-3,73;-4,11;1;0,0007;0,00;0;1;1;7;0;410;2048;2048
201,5694;278,8654;5,80;-0,1791;-0,1308;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1635;-3,73;-3,91;1;0,0014;0,00;0;1;1;7;0;410;2048;2048
201,5833;278,8654;5,80;-0,0371;-0,1320;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1650;-3,74;-3,77;1;0,0014;0,00;0;1;1;7;0;410;2048;2048
201,5972;278,8654;5,80;0,0764;-0,1332;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1665;-3,73;-3,66;1;0,0014;0,00;0;1;1;7;0;410;2048;2048
201,6111;278,8654;5,80;0,2413;-0,1343;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1679;-3,73;-3,49;1;0,0014;0,00;0;1;1;7;0;410;2048;2048
