# Study: LKA_Haptics | Participant: 5 | Condition: HapticsFixedCW | Init: 20260128_103803 | Roadwidth_halfmeters: 1.25 | LKA_deadzone: 0.4 | Min_Vib_Pecentage: 0.2 | Max_Vib_Percentage: 0.4
Timestamp;Trackposition;Speed_KmH;SteerAngle;CTE_Norm;Haptic_L_Norm;Haptic_R_Norm;LkaPIDError;LkaNormEffort;LkaNormCTE;CTE_Meters;B_HeadingError_Deg;W_HeadingError_Deg;IsOnStraight;TrackCurvature_1/Meters;TrackRadius_Meters;LKA_Engaged;LKA_Switch;MotorDir;SecTaskNum;SecTaskPressed;MotorPWM;HapticLeftPWM;HapticRightPWM
109,3750;278,0920;4,90;3,5379;-0,1152;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1440;0,09;3,63;1;0,0001;0,00;0;1;1;4;0;410;2048;2048
109,3889;278,1109;4,90;3,5321;-0,1148;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1435;0,14;3,67;1;0,0001;0,00;0;1;1;4;0;410;2048;2048
109,4028;278,1298;4,90;3,5255;-0,1144;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1430;0,18;3,71;1;0,0001;0,00;0;1;1;4;0;410;2048;2048
109,4167;278,1487;4,90;3,5241;-0,1140;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1425;0,23;3,75;1;0,0001;0,00;0;1;1;4;0;410;2048;2048
109,4306;278,1676;4,90;3,5200;-0,1136;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1420;0,27;3,79;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,4444;278,4088;4,90;3,5274;-0,1132;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1415;0,32;3,84;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,4583;278,4088;4,90;3,5123;-0,1127;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1409;0,36;3,87;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,4722;278,4088;4,90;3,4983;-0,1123;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1404;0,41;3,91;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,4861;278,4088;4,90;3,4955;-0,1118;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1398;0,45;3,95;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,5000;278,4088;4,90;3,4773;-0,1113;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1392;0,50;3,97;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,5139;278,4088;4,90;3,5986;-0,1109;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1386;0,54;4,14;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,5278;278,4088;4,90;3,5206;-0,1104;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1379;0,59;4,11;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,5417;278,4088;4,90;3,5152;-0,1098;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1373;0,63;4,15;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,5556;278,4088;4,90;3,5258;-0,1093;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1367;0,68;4,20;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,5694;278,4088;4,90;3,5274;-0,1088;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1360;0,72;4,25;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,5833;278,4088;4,90;3,5140;-0,1082;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1353;0,77;4,28;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,5972;278,4088;4,90;3,5113;-0,1077;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1346;0,81;4,32;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,6111;278,4133;4,90;3,4811;-0,1071;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1339;0,86;4,34;1;0,0000;0,00;0;1;1;4;0;410;2048;2048
109,6250;278,4322;4,90;3,4298;-0,1065;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1332;0,90;4,33;1;0,0001;0,00;0;1;1;4;0;410;2048;2048
109,6389;278,4511;4,90;3,3498;-0,1060;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1325;0,94;4,29;1;0,0002;0,00;0;1;1;4;0;410;2048;2048
109,6528;278,4700;4,90;3,3088;-0,1054;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1317;0,98;4,29;1;0,0002;0,00;0;1;1;4;0;410;2048;2048
109,6667;278,4889;4,90;3,2632;-0,1048;0,0000;0,0000;0,0000;0,0000;0,0000;-0,1310;1,03;4,29;1;0,0003;0,00;0;1;1;4;0;410;2048;2048
