Participant;File;Targets;Hits;Misses;Accuracy;AvgRT_sec;FalsePresses;ExtraPressesInWindow;TotalPressEvents;Window_sec
10;10_BaselineCC_20260128_180051.csv;3;0;3;0.0000;;0;0;0;1.50
10;10_BaselineCW_20260128_173052.csv;4;1;3;0.2500;1.4583;3;0;4;1.50
10;10_HapticsAdaptiveCC_20260128_174548.csv;5;3;2;0.6000;1.1620;1;0;4;1.50
10;10_HapticsAdaptiveCW_20260128_171230.csv;4;1;3;0.2500;1.2361;2;0;3;1.50
10;10_HapticsFixedCC_20260128_172131.csv;4;2;2;0.5000;1.3403;2;0;4;1.50
10;10_HapticsFixedCW_20260128_173808.csv;3;2;1;0.6667;1.3403;1;0;3;1.50
11;11_BaselineCC_20260129_102139.csv;4;3;1;0.7500;1.1342;2;0;5;1.50
11;11_BaselineCW_20260129_100446.csv;5;1;4;0.2000;1.0556;4;0;5;1.50
11;11_HapticsAdaptiveCC_20260129_103057.csv;6;1;5;0.1667;1.4583;3;0;4;1.50
11;11_HapticsAdaptiveCW_20260129_101558.csv;5;1;4;0.2000;1.5000;6;0;7;1.50
11;11_HapticsFixedCC_20260129_102723.csv;6;1;5;0.1667;1.3611;3;0;4;1.50
11;11_HapticsFixedCW_20260129_100919.csv;4;0;4;0.0000;;2;0;2;1.50
12;12_BaselineCC_20260129_111249.csv;4;0;4;0.0000;;1;0;1;1.50
12;12_BaselineCW_20260129_111854.csv;5;0;5;0.0000;;2;0;2;1.50
12;12_HapticsAdaptiveCC_20260129_112533.csv;5;0;5;0.0000;;1;0;1;1.50
12;12_HapticsAdaptiveCC_20260129_113016.csv;5;0;5;0.0000;;1;0;1;1.50
12;12_HapticsFixedCC_20260129_113611.csv;4;0;4;0.0000;;1;0;1;1.50
12;12_HapticsFixedCW_20260129_110700.csv;4;0;4;0.0000;;1;0;1;1.50
13;13_BaselineCC_20260129_120202.csv;6;1;5;0.1667;1.0139;5;0;6;1.50
13;13_BaselineCW_20260129_123123.csv;6;4;2;0.6667;1.1736;1;0;5;1.50
13;13_HapticsAdaptiveCC_20260129_120713.csv;8;4;4;0.5000;1.2986;2;0;6;1.50
13;13_HapticsAdaptiveCW_20260129_123730.csv;9;1;8;0.1111;1.2222;2;0;3;1.50
13;13_HapticsFixedCC_20260129_122604.csv;8;2;6;0.2500;1.1736;4;0;6;1.50
13;13_HapticsFixedCW_20260129_121444.csv;5;1;4;0.2000;1.1666;5;0;6;1.50
14;14_BaselineCC_20260129_131805.csv;4;3;1;0.7500;0.7778;2;0;5;1.50
14;14_BaselineCW_20260129_133429.csv;3;0;3;0.0000;;3;0;3;1.50
